"location","origin_date","target_end_date","horizon","quantile","output_type_id","value","target","output_type","region"
"HHS Region 1",2018-11-17,2018-11-24,1,"1%",0.01,0.898449246885054,"ili perc","quantile","hhs1"
"HHS Region 1",2018-11-17,2018-11-24,1,"2.5%",0.025,0.911354254052073,"ili perc","quantile","hhs1"
"HHS Region 1",2018-11-17,2018-11-24,1,"5%",0.05,0.969177452916979,"ili perc","quantile","hhs1"
"HHS Region 1",2018-11-17,2018-11-24,1,"10%",0.1,1.0563786418892,"ili perc","quantile","hhs1"
"HHS Region 1",2018-11-17,2018-11-24,1,"15%",0.15,1.11569805959211,"ili perc","quantile","hhs1"
"HHS Region 1",2018-11-17,2018-11-24,1,"20%",0.2,1.17640455331107,"ili perc","quantile","hhs1"
"HHS Region 1",2018-11-17,2018-11-24,1,"25%",0.25,1.24410428748701,"ili perc","quantile","hhs1"
"HHS Region 1",2018-11-17,2018-11-24,1,"30%",0.3,1.27363865610972,"ili perc","quantile","hhs1"
"HHS Region 1",2018-11-17,2018-11-24,1,"35%",0.35,1.29691191188313,"ili perc","quantile","hhs1"
"HHS Region 1",2018-11-17,2018-11-24,1,"40%",0.4,1.33419052385922,"ili perc","quantile","hhs1"
"HHS Region 1",2018-11-17,2018-11-24,1,"45%",0.45,1.40663888377045,"ili perc","quantile","hhs1"
"HHS Region 1",2018-11-17,2018-11-24,1,"50%",0.5,2.78719887995076,"ili perc","quantile","hhs1"
"HHS Region 1",2018-11-17,2018-11-24,1,"55%",0.55,2.78719887995076,"ili perc","quantile","hhs1"
"HHS Region 1",2018-11-17,2018-11-24,1,"60%",0.6,2.78719887995076,"ili perc","quantile","hhs1"
"HHS Region 1",2018-11-17,2018-11-24,1,"65%",0.65,2.78719887995076,"ili perc","quantile","hhs1"
"HHS Region 1",2018-11-17,2018-11-24,1,"70%",0.7,2.78719887995076,"ili perc","quantile","hhs1"
"HHS Region 1",2018-11-17,2018-11-24,1,"75%",0.75,2.78719887995076,"ili perc","quantile","hhs1"
"HHS Region 1",2018-11-17,2018-11-24,1,"80%",0.8,2.78719887995076,"ili perc","quantile","hhs1"
"HHS Region 1",2018-11-17,2018-11-24,1,"85%",0.85,2.78719887995076,"ili perc","quantile","hhs1"
"HHS Region 1",2018-11-17,2018-11-24,1,"90%",0.9,2.78719887995076,"ili perc","quantile","hhs1"
"HHS Region 1",2018-11-17,2018-11-24,1,"95%",0.95,2.78719887995076,"ili perc","quantile","hhs1"
"HHS Region 1",2018-11-17,2018-11-24,1,"97.5%",0.975,2.78719887995076,"ili perc","quantile","hhs1"
"HHS Region 1",2018-11-17,2018-11-24,1,"99%",0.99,2.78719887995076,"ili perc","quantile","hhs1"
"HHS Region 1",2018-11-17,2018-12-01,2,"1%",0.01,0.884812979170688,"ili perc","quantile","hhs1"
"HHS Region 1",2018-11-17,2018-12-01,2,"2.5%",0.025,0.909454550601542,"ili perc","quantile","hhs1"
"HHS Region 1",2018-11-17,2018-12-01,2,"5%",0.05,0.947603320199003,"ili perc","quantile","hhs1"
"HHS Region 1",2018-11-17,2018-12-01,2,"10%",0.1,1.01627949100383,"ili perc","quantile","hhs1"
"HHS Region 1",2018-11-17,2018-12-01,2,"15%",0.15,1.06907249021583,"ili perc","quantile","hhs1"
"HHS Region 1",2018-11-17,2018-12-01,2,"20%",0.2,1.13207281957757,"ili perc","quantile","hhs1"
"HHS Region 1",2018-11-17,2018-12-01,2,"25%",0.25,1.19791803396439,"ili perc","quantile","hhs1"
"HHS Region 1",2018-11-17,2018-12-01,2,"30%",0.3,1.23038999274885,"ili perc","quantile","hhs1"
"HHS Region 1",2018-11-17,2018-12-01,2,"35%",0.35,1.26769579332782,"ili perc","quantile","hhs1"
"HHS Region 1",2018-11-17,2018-12-01,2,"40%",0.4,1.30419748555265,"ili perc","quantile","hhs1"
"HHS Region 1",2018-11-17,2018-12-01,2,"45%",0.45,1.37711629528617,"ili perc","quantile","hhs1"
"HHS Region 1",2018-11-17,2018-12-01,2,"50%",0.5,2.19508589484048,"ili perc","quantile","hhs1"
"HHS Region 1",2018-11-17,2018-12-01,2,"55%",0.55,2.19508589484048,"ili perc","quantile","hhs1"
"HHS Region 1",2018-11-17,2018-12-01,2,"60%",0.6,2.19508589484048,"ili perc","quantile","hhs1"
"HHS Region 1",2018-11-17,2018-12-01,2,"65%",0.65,2.19508589484048,"ili perc","quantile","hhs1"
"HHS Region 1",2018-11-17,2018-12-01,2,"70%",0.7,2.19508589484048,"ili perc","quantile","hhs1"
"HHS Region 1",2018-11-17,2018-12-01,2,"75%",0.75,2.19508589484048,"ili perc","quantile","hhs1"
"HHS Region 1",2018-11-17,2018-12-01,2,"80%",0.8,2.19508589484048,"ili perc","quantile","hhs1"
"HHS Region 1",2018-11-17,2018-12-01,2,"85%",0.85,2.19508589484048,"ili perc","quantile","hhs1"
"HHS Region 1",2018-11-17,2018-12-01,2,"90%",0.9,2.19508589484048,"ili perc","quantile","hhs1"
"HHS Region 1",2018-11-17,2018-12-01,2,"95%",0.95,2.19508589484048,"ili perc","quantile","hhs1"
"HHS Region 1",2018-11-17,2018-12-01,2,"97.5%",0.975,2.20917181428988,"ili perc","quantile","hhs1"
"HHS Region 1",2018-11-17,2018-12-01,2,"99%",0.99,2.3373986862092,"ili perc","quantile","hhs1"
"HHS Region 1",2018-11-17,2018-12-08,3,"1%",0.01,0.871946473535218,"ili perc","quantile","hhs1"
"HHS Region 1",2018-11-17,2018-12-08,3,"2.5%",0.025,0.908339172859718,"ili perc","quantile","hhs1"
"HHS Region 1",2018-11-17,2018-12-08,3,"5%",0.05,0.926679063866506,"ili perc","quantile","hhs1"
"HHS Region 1",2018-11-17,2018-12-08,3,"10%",0.1,0.9767010100085,"ili perc","quantile","hhs1"
"HHS Region 1",2018-11-17,2018-12-08,3,"15%",0.15,1.02291241463031,"ili perc","quantile","hhs1"
"HHS Region 1",2018-11-17,2018-12-08,3,"20%",0.2,1.08833569580756,"ili perc","quantile","hhs1"
"HHS Region 1",2018-11-17,2018-12-08,3,"25%",0.25,1.15223559804573,"ili perc","quantile","hhs1"
"HHS Region 1",2018-11-17,2018-12-08,3,"30%",0.3,1.18760041042164,"ili perc","quantile","hhs1"
"HHS Region 1",2018-11-17,2018-12-08,3,"35%",0.35,1.23888086303386,"ili perc","quantile","hhs1"
"HHS Region 1",2018-11-17,2018-12-08,3,"40%",0.4,1.27460875689948,"ili perc","quantile","hhs1"
"HHS Region 1",2018-11-17,2018-12-08,3,"45%",0.45,1.34794309555739,"ili perc","quantile","hhs1"
"HHS Region 1",2018-11-17,2018-12-08,3,"50%",0.5,3.51258712425304,"ili perc","quantile","hhs1"
"HHS Region 1",2018-11-17,2018-12-08,3,"55%",0.55,3.51258712425304,"ili perc","quantile","hhs1"
"HHS Region 1",2018-11-17,2018-12-08,3,"60%",0.6,3.51258712425304,"ili perc","quantile","hhs1"
"HHS Region 1",2018-11-17,2018-12-08,3,"65%",0.65,3.51258712425304,"ili perc","quantile","hhs1"
"HHS Region 1",2018-11-17,2018-12-08,3,"70%",0.7,3.51258712425304,"ili perc","quantile","hhs1"
"HHS Region 1",2018-11-17,2018-12-08,3,"75%",0.75,3.51258712425304,"ili perc","quantile","hhs1"
"HHS Region 1",2018-11-17,2018-12-08,3,"80%",0.8,3.51258712425304,"ili perc","quantile","hhs1"
"HHS Region 1",2018-11-17,2018-12-08,3,"85%",0.85,3.51258712425304,"ili perc","quantile","hhs1"
"HHS Region 1",2018-11-17,2018-12-08,3,"90%",0.9,3.51258712425304,"ili perc","quantile","hhs1"
"HHS Region 1",2018-11-17,2018-12-08,3,"95%",0.95,3.51258712425304,"ili perc","quantile","hhs1"
"HHS Region 1",2018-11-17,2018-12-08,3,"97.5%",0.975,3.51258712425304,"ili perc","quantile","hhs1"
"HHS Region 1",2018-11-17,2018-12-08,3,"99%",0.99,3.51258712425304,"ili perc","quantile","hhs1"
"HHS Region 1",2018-11-17,2018-12-15,4,"1%",0.01,0.858356575184071,"ili perc","quantile","hhs1"
"HHS Region 1",2018-11-17,2018-12-15,4,"2.5%",0.025,0.905815397417078,"ili perc","quantile","hhs1"
"HHS Region 1",2018-11-17,2018-12-15,4,"5%",0.05,0.905815397417078,"ili perc","quantile","hhs1"
"HHS Region 1",2018-11-17,2018-12-15,4,"10%",0.1,0.936633223530267,"ili perc","quantile","hhs1"
"HHS Region 1",2018-11-17,2018-12-15,4,"15%",0.15,0.976314885932109,"ili perc","quantile","hhs1"
"HHS Region 1",2018-11-17,2018-12-15,4,"20%",0.2,1.04403978052515,"ili perc","quantile","hhs1"
"HHS Region 1",2018-11-17,2018-12-15,4,"25%",0.25,1.10607969377272,"ili perc","quantile","hhs1"
"HHS Region 1",2018-11-17,2018-12-15,4,"30%",0.3,1.14437940144357,"ili perc","quantile","hhs1"
"HHS Region 1",2018-11-17,2018-12-15,4,"35%",0.35,1.20968891148382,"ili perc","quantile","hhs1"
"HHS Region 1",2018-11-17,2018-12-15,4,"40%",0.4,1.24464007362636,"ili perc","quantile","hhs1"
"HHS Region 1",2018-11-17,2018-12-15,4,"45%",0.45,1.31844155375045,"ili perc","quantile","hhs1"
"HHS Region 1",2018-11-17,2018-12-15,4,"50%",0.5,3.03550655961246,"ili perc","quantile","hhs1"
"HHS Region 1",2018-11-17,2018-12-15,4,"55%",0.55,3.03550655961246,"ili perc","quantile","hhs1"
"HHS Region 1",2018-11-17,2018-12-15,4,"60%",0.6,3.03550655961246,"ili perc","quantile","hhs1"
"HHS Region 1",2018-11-17,2018-12-15,4,"65%",0.65,3.03550655961246,"ili perc","quantile","hhs1"
"HHS Region 1",2018-11-17,2018-12-15,4,"70%",0.7,3.03550655961246,"ili perc","quantile","hhs1"
"HHS Region 1",2018-11-17,2018-12-15,4,"75%",0.75,3.03550655961246,"ili perc","quantile","hhs1"
"HHS Region 1",2018-11-17,2018-12-15,4,"80%",0.8,3.03550655961246,"ili perc","quantile","hhs1"
"HHS Region 1",2018-11-17,2018-12-15,4,"85%",0.85,3.03550655961246,"ili perc","quantile","hhs1"
"HHS Region 1",2018-11-17,2018-12-15,4,"90%",0.9,3.03550655961246,"ili perc","quantile","hhs1"
"HHS Region 1",2018-11-17,2018-12-15,4,"95%",0.95,3.03550655961246,"ili perc","quantile","hhs1"
"HHS Region 1",2018-11-17,2018-12-15,4,"97.5%",0.975,3.03550655961246,"ili perc","quantile","hhs1"
"HHS Region 1",2018-11-17,2018-12-15,4,"99%",0.99,3.03550655961246,"ili perc","quantile","hhs1"
"HHS Region 10",2018-11-17,2018-11-24,1,"1%",0.01,0.58654937091117,"ili perc","quantile","hhs10"
"HHS Region 10",2018-11-17,2018-11-24,1,"2.5%",0.025,0.58654937091117,"ili perc","quantile","hhs10"
"HHS Region 10",2018-11-17,2018-11-24,1,"5%",0.05,0.674340946719416,"ili perc","quantile","hhs10"
"HHS Region 10",2018-11-17,2018-11-24,1,"10%",0.1,0.783702414812853,"ili perc","quantile","hhs10"
"HHS Region 10",2018-11-17,2018-11-24,1,"15%",0.15,0.832497090254125,"ili perc","quantile","hhs10"
"HHS Region 10",2018-11-17,2018-11-24,1,"20%",0.2,0.900092669858938,"ili perc","quantile","hhs10"
"HHS Region 10",2018-11-17,2018-11-24,1,"25%",0.25,0.910976383946718,"ili perc","quantile","hhs10"
"HHS Region 10",2018-11-17,2018-11-24,1,"30%",0.3,0.910976383946718,"ili perc","quantile","hhs10"
"HHS Region 10",2018-11-17,2018-11-24,1,"35%",0.35,0.910976383946718,"ili perc","quantile","hhs10"
"HHS Region 10",2018-11-17,2018-11-24,1,"40%",0.4,0.910976383946718,"ili perc","quantile","hhs10"
"HHS Region 10",2018-11-17,2018-11-24,1,"45%",0.45,0.910976383946718,"ili perc","quantile","hhs10"
"HHS Region 10",2018-11-17,2018-11-24,1,"50%",0.5,0.910976383946718,"ili perc","quantile","hhs10"
"HHS Region 10",2018-11-17,2018-11-24,1,"55%",0.55,1.17174722739013,"ili perc","quantile","hhs10"
"HHS Region 10",2018-11-17,2018-11-24,1,"60%",0.6,1.20629909577049,"ili perc","quantile","hhs10"
"HHS Region 10",2018-11-17,2018-11-24,1,"65%",0.65,1.25957319822876,"ili perc","quantile","hhs10"
"HHS Region 10",2018-11-17,2018-11-24,1,"70%",0.7,1.30662942611552,"ili perc","quantile","hhs10"
"HHS Region 10",2018-11-17,2018-11-24,1,"75%",0.75,1.3711151350189,"ili perc","quantile","hhs10"
"HHS Region 10",2018-11-17,2018-11-24,1,"80%",0.8,1.40894799304104,"ili perc","quantile","hhs10"
"HHS Region 10",2018-11-17,2018-11-24,1,"85%",0.85,1.48196682305648,"ili perc","quantile","hhs10"
"HHS Region 10",2018-11-17,2018-11-24,1,"90%",0.9,1.57335285541972,"ili perc","quantile","hhs10"
"HHS Region 10",2018-11-17,2018-11-24,1,"95%",0.95,1.73915876340025,"ili perc","quantile","hhs10"
"HHS Region 10",2018-11-17,2018-11-24,1,"97.5%",0.975,2.08782206067648,"ili perc","quantile","hhs10"
"HHS Region 10",2018-11-17,2018-11-24,1,"99%",0.99,2.63752708056597,"ili perc","quantile","hhs10"
"HHS Region 10",2018-11-17,2018-12-01,2,"1%",0.01,0.579005663389544,"ili perc","quantile","hhs10"
"HHS Region 10",2018-11-17,2018-12-01,2,"2.5%",0.025,0.579005663389544,"ili perc","quantile","hhs10"
"HHS Region 10",2018-11-17,2018-12-01,2,"5%",0.05,0.652954387723687,"ili perc","quantile","hhs10"
"HHS Region 10",2018-11-17,2018-12-01,2,"10%",0.1,0.743753544798608,"ili perc","quantile","hhs10"
"HHS Region 10",2018-11-17,2018-12-01,2,"15%",0.15,0.786005876279831,"ili perc","quantile","hhs10"
"HHS Region 10",2018-11-17,2018-12-01,2,"20%",0.2,0.855932558308718,"ili perc","quantile","hhs10"
"HHS Region 10",2018-11-17,2018-12-01,2,"25%",0.25,0.870035058981305,"ili perc","quantile","hhs10"
"HHS Region 10",2018-11-17,2018-12-01,2,"30%",0.3,0.870035058981305,"ili perc","quantile","hhs10"
"HHS Region 10",2018-11-17,2018-12-01,2,"35%",0.35,0.870035058981305,"ili perc","quantile","hhs10"
"HHS Region 10",2018-11-17,2018-12-01,2,"40%",0.4,0.870035058981305,"ili perc","quantile","hhs10"
"HHS Region 10",2018-11-17,2018-12-01,2,"45%",0.45,0.870035058981305,"ili perc","quantile","hhs10"
"HHS Region 10",2018-11-17,2018-12-01,2,"50%",0.5,0.870035058981305,"ili perc","quantile","hhs10"
"HHS Region 10",2018-11-17,2018-12-01,2,"55%",0.55,1.15500613106201,"ili perc","quantile","hhs10"
"HHS Region 10",2018-11-17,2018-12-01,2,"60%",0.6,1.20308619841732,"ili perc","quantile","hhs10"
"HHS Region 10",2018-11-17,2018-12-01,2,"65%",0.65,1.2605742070378,"ili perc","quantile","hhs10"
"HHS Region 10",2018-11-17,2018-12-01,2,"70%",0.7,1.31461763702903,"ili perc","quantile","hhs10"
"HHS Region 10",2018-11-17,2018-12-01,2,"75%",0.75,1.37866778238024,"ili perc","quantile","hhs10"
"HHS Region 10",2018-11-17,2018-12-01,2,"80%",0.8,1.44193394518824,"ili perc","quantile","hhs10"
"HHS Region 10",2018-11-17,2018-12-01,2,"85%",0.85,1.53543127489818,"ili perc","quantile","hhs10"
"HHS Region 10",2018-11-17,2018-12-01,2,"90%",0.9,1.65634871153611,"ili perc","quantile","hhs10"
"HHS Region 10",2018-11-17,2018-12-01,2,"95%",0.95,1.85709277234237,"ili perc","quantile","hhs10"
"HHS Region 10",2018-11-17,2018-12-01,2,"97.5%",0.975,2.19771872558941,"ili perc","quantile","hhs10"
"HHS Region 10",2018-11-17,2018-12-01,2,"99%",0.99,2.81389115057575,"ili perc","quantile","hhs10"
"HHS Region 10",2018-11-17,2018-12-08,3,"1%",0.01,0.571535999820695,"ili perc","quantile","hhs10"
"HHS Region 10",2018-11-17,2018-12-08,3,"2.5%",0.025,0.571535999820695,"ili perc","quantile","hhs10"
"HHS Region 10",2018-11-17,2018-12-08,3,"5%",0.05,0.631629754980493,"ili perc","quantile","hhs10"
"HHS Region 10",2018-11-17,2018-12-08,3,"10%",0.1,0.703854289043041,"ili perc","quantile","hhs10"
"HHS Region 10",2018-11-17,2018-12-08,3,"15%",0.15,0.739559018873469,"ili perc","quantile","hhs10"
"HHS Region 10",2018-11-17,2018-12-08,3,"20%",0.2,0.811829106713498,"ili perc","quantile","hhs10"
"HHS Region 10",2018-11-17,2018-12-08,3,"25%",0.25,0.834752179823704,"ili perc","quantile","hhs10"
"HHS Region 10",2018-11-17,2018-12-08,3,"30%",0.3,0.872121526414145,"ili perc","quantile","hhs10"
"HHS Region 10",2018-11-17,2018-12-08,3,"35%",0.35,0.920778191635821,"ili perc","quantile","hhs10"
"HHS Region 10",2018-11-17,2018-12-08,3,"40%",0.4,0.968765432578177,"ili perc","quantile","hhs10"
"HHS Region 10",2018-11-17,2018-12-08,3,"45%",0.45,1.0110594966343,"ili perc","quantile","hhs10"
"HHS Region 10",2018-11-17,2018-12-08,3,"50%",0.5,1.0110594966343,"ili perc","quantile","hhs10"
"HHS Region 10",2018-11-17,2018-12-08,3,"55%",0.55,1.13830707411764,"ili perc","quantile","hhs10"
"HHS Region 10",2018-11-17,2018-12-08,3,"60%",0.6,1.19990883122201,"ili perc","quantile","hhs10"
"HHS Region 10",2018-11-17,2018-12-08,3,"65%",0.65,1.26161166196443,"ili perc","quantile","hhs10"
