"location","origin_date","horizon","target_end_date","quantile","value","output_type_id","target","output_type"
"US National",2015-10-31,4,2015-11-28,"1%",1.53893362433419,0.01,"ili perc","quantile"
"US National",2015-10-31,4,2015-11-28,"2.5%",1.58607360581533,0.025,"ili perc","quantile"
"US National",2015-10-31,4,2015-11-28,"5%",1.6419898552358,0.05,"ili perc","quantile"
"US National",2015-10-31,4,2015-11-28,"10%",1.68006314110781,0.1,"ili perc","quantile"
"US National",2015-10-31,4,2015-11-28,"15%",1.75464874003848,0.15,"ili perc","quantile"
"US National",2015-10-31,4,2015-11-28,"20%",1.78724544447352,0.2,"ili perc","quantile"
"US National",2015-10-31,4,2015-11-28,"25%",1.8097934105705,0.25,"ili perc","quantile"
"US National",2015-10-31,4,2015-11-28,"30%",1.81937260870249,0.3,"ili perc","quantile"
"US National",2015-10-31,4,2015-11-28,"35%",1.84019595606787,0.35,"ili perc","quantile"
"US National",2015-10-31,4,2015-11-28,"40%",1.85480404528538,0.4,"ili perc","quantile"
"US National",2015-10-31,4,2015-11-28,"45%",1.8753768284992,0.45,"ili perc","quantile"
"US National",2015-10-31,4,2015-11-28,"50%",1.91004496516937,0.5,"ili perc","quantile"
"US National",2015-10-31,4,2015-11-28,"55%",1.92851452691839,0.55,"ili perc","quantile"
"US National",2015-10-31,4,2015-11-28,"60%",1.97153639013275,0.6,"ili perc","quantile"
"US National",2015-10-31,4,2015-11-28,"65%",1.99778930297038,0.65,"ili perc","quantile"
"US National",2015-10-31,4,2015-11-28,"70%",2.03640064728395,0.7,"ili perc","quantile"
"US National",2015-10-31,4,2015-11-28,"75%",2.05875668549909,0.75,"ili perc","quantile"
"US National",2015-10-31,4,2015-11-28,"80%",2.10351841750523,0.8,"ili perc","quantile"
"US National",2015-10-31,4,2015-11-28,"85%",2.13731009608152,0.85,"ili perc","quantile"
"US National",2015-10-31,4,2015-11-28,"90%",2.16917189187343,0.9,"ili perc","quantile"
"US National",2015-10-31,4,2015-11-28,"95%",2.25840576022497,0.95,"ili perc","quantile"
"US National",2015-10-31,4,2015-11-28,"97.5%",2.40823868736314,0.975,"ili perc","quantile"
"US National",2015-10-31,4,2015-11-28,"99%",2.57240438465256,0.99,"ili perc","quantile"
