"location","origin_date","horizon","target_end_date","quantile","value","output_type_id","target","output_type"
"US National",2016-02-27,4,2016-03-26,"1%",1.91720197674042,0.01,"ili perc","quantile"
"US National",2016-02-27,4,2016-03-26,"2.5%",1.96775720744286,0.025,"ili perc","quantile"
"US National",2016-02-27,4,2016-03-26,"5%",2.05075732247339,0.05,"ili perc","quantile"
"US National",2016-02-27,4,2016-03-26,"10%",2.1992265632086,0.1,"ili perc","quantile"
"US National",2016-02-27,4,2016-03-26,"15%",2.23295453254206,0.15,"ili perc","quantile"
"US National",2016-02-27,4,2016-03-26,"20%",2.28806075470166,0.2,"ili perc","quantile"
"US National",2016-02-27,4,2016-03-26,"25%",2.32854416980151,0.25,"ili perc","quantile"
"US National",2016-02-27,4,2016-03-26,"30%",2.35043688601403,0.3,"ili perc","quantile"
"US National",2016-02-27,4,2016-03-26,"35%",2.3654552681547,0.35,"ili perc","quantile"
"US National",2016-02-27,4,2016-03-26,"40%",2.4348529887902,0.4,"ili perc","quantile"
"US National",2016-02-27,4,2016-03-26,"45%",2.48880743252474,0.45,"ili perc","quantile"
"US National",2016-02-27,4,2016-03-26,"50%",2.51590481992238,0.5,"ili perc","quantile"
"US National",2016-02-27,4,2016-03-26,"55%",2.55669299496806,0.55,"ili perc","quantile"
"US National",2016-02-27,4,2016-03-26,"60%",2.5836043714976,0.6,"ili perc","quantile"
"US National",2016-02-27,4,2016-03-26,"65%",2.62905918144608,0.65,"ili perc","quantile"
"US National",2016-02-27,4,2016-03-26,"70%",2.69467624062953,0.7,"ili perc","quantile"
"US National",2016-02-27,4,2016-03-26,"75%",2.7881335971799,0.75,"ili perc","quantile"
"US National",2016-02-27,4,2016-03-26,"80%",2.83577007752411,0.8,"ili perc","quantile"
"US National",2016-02-27,4,2016-03-26,"85%",2.96613236804156,0.85,"ili perc","quantile"
"US National",2016-02-27,4,2016-03-26,"90%",3.08059229508988,0.9,"ili perc","quantile"
"US National",2016-02-27,4,2016-03-26,"95%",3.15402239002674,0.95,"ili perc","quantile"
"US National",2016-02-27,4,2016-03-26,"97.5%",3.54469307044177,0.975,"ili perc","quantile"
"US National",2016-02-27,4,2016-03-26,"99%",4.11249791224898,0.99,"ili perc","quantile"
