"location","origin_date","horizon","target_end_date","quantile","value","output_type_id","target","output_type"
"US National",2015-12-12,4,2016-01-09,"1%",2.72894339087475,0.01,"ili perc","quantile"
"US National",2015-12-12,4,2016-01-09,"2.5%",2.83337397048776,0.025,"ili perc","quantile"
"US National",2015-12-12,4,2016-01-09,"5%",2.95790796133753,0.05,"ili perc","quantile"
"US National",2015-12-12,4,2016-01-09,"10%",3.07752777612475,0.1,"ili perc","quantile"
"US National",2015-12-12,4,2016-01-09,"15%",3.12455857436665,0.15,"ili perc","quantile"
"US National",2015-12-12,4,2016-01-09,"20%",3.1513049157426,0.2,"ili perc","quantile"
"US National",2015-12-12,4,2016-01-09,"25%",3.18793591153164,0.25,"ili perc","quantile"
"US National",2015-12-12,4,2016-01-09,"30%",3.23121123074758,0.3,"ili perc","quantile"
"US National",2015-12-12,4,2016-01-09,"35%",3.26780635848104,0.35,"ili perc","quantile"
"US National",2015-12-12,4,2016-01-09,"40%",3.31926782751954,0.4,"ili perc","quantile"
"US National",2015-12-12,4,2016-01-09,"45%",3.34718396869496,0.45,"ili perc","quantile"
"US National",2015-12-12,4,2016-01-09,"50%",3.3815260373352,0.5,"ili perc","quantile"
"US National",2015-12-12,4,2016-01-09,"55%",3.41723800425577,0.55,"ili perc","quantile"
"US National",2015-12-12,4,2016-01-09,"60%",3.44028267768788,0.6,"ili perc","quantile"
"US National",2015-12-12,4,2016-01-09,"65%",3.46381636143941,0.65,"ili perc","quantile"
"US National",2015-12-12,4,2016-01-09,"70%",3.47965211121514,0.7,"ili perc","quantile"
"US National",2015-12-12,4,2016-01-09,"75%",3.48806747286416,0.75,"ili perc","quantile"
"US National",2015-12-12,4,2016-01-09,"80%",3.50589681225463,0.8,"ili perc","quantile"
"US National",2015-12-12,4,2016-01-09,"85%",3.54865361408157,0.85,"ili perc","quantile"
"US National",2015-12-12,4,2016-01-09,"90%",3.57830379445889,0.9,"ili perc","quantile"
"US National",2015-12-12,4,2016-01-09,"95%",3.70401900926617,0.95,"ili perc","quantile"
"US National",2015-12-12,4,2016-01-09,"97.5%",3.7933803914349,0.975,"ili perc","quantile"
"US National",2015-12-12,4,2016-01-09,"99%",4.10874859472991,0.99,"ili perc","quantile"
