"location","origin_date","horizon","target_end_date","quantile","value","output_type_id","target","output_type"
"US National",2016-03-05,4,2016-04-02,"1%",1.45574585621393,0.01,"ili perc","quantile"
"US National",2016-03-05,4,2016-04-02,"2.5%",1.82733178637205,0.025,"ili perc","quantile"
"US National",2016-03-05,4,2016-04-02,"5%",2.01853697440445,0.05,"ili perc","quantile"
"US National",2016-03-05,4,2016-04-02,"10%",2.26966090769864,0.1,"ili perc","quantile"
"US National",2016-03-05,4,2016-04-02,"15%",2.39312551363199,0.15,"ili perc","quantile"
"US National",2016-03-05,4,2016-04-02,"20%",2.47610518631332,0.2,"ili perc","quantile"
"US National",2016-03-05,4,2016-04-02,"25%",2.51701644401216,0.25,"ili perc","quantile"
"US National",2016-03-05,4,2016-04-02,"30%",2.66099170332048,0.3,"ili perc","quantile"
"US National",2016-03-05,4,2016-04-02,"35%",2.84336032549099,0.35,"ili perc","quantile"
"US National",2016-03-05,4,2016-04-02,"40%",3.0259933242128,0.4,"ili perc","quantile"
"US National",2016-03-05,4,2016-04-02,"45%",3.06638806909354,0.45,"ili perc","quantile"
"US National",2016-03-05,4,2016-04-02,"50%",3.17560628986436,0.5,"ili perc","quantile"
"US National",2016-03-05,4,2016-04-02,"55%",3.27149429953646,0.55,"ili perc","quantile"
"US National",2016-03-05,4,2016-04-02,"60%",3.3700997462238,0.6,"ili perc","quantile"
"US National",2016-03-05,4,2016-04-02,"65%",3.56031892704439,0.65,"ili perc","quantile"
"US National",2016-03-05,4,2016-04-02,"70%",3.76319290331895,0.7,"ili perc","quantile"
"US National",2016-03-05,4,2016-04-02,"75%",3.96447015748683,0.75,"ili perc","quantile"
"US National",2016-03-05,4,2016-04-02,"80%",4.1709471422909,0.8,"ili perc","quantile"
"US National",2016-03-05,4,2016-04-02,"85%",4.41553144086004,0.85,"ili perc","quantile"
"US National",2016-03-05,4,2016-04-02,"90%",4.91303551197836,0.9,"ili perc","quantile"
"US National",2016-03-05,4,2016-04-02,"95%",5.25633978949612,0.95,"ili perc","quantile"
"US National",2016-03-05,4,2016-04-02,"97.5%",5.62400119109572,0.975,"ili perc","quantile"
"US National",2016-03-05,4,2016-04-02,"99%",5.8335456323253,0.99,"ili perc","quantile"
