"location","origin_date","horizon","target_end_date","quantile","value","output_type_id","target","output_type"
"US National",2015-10-24,4,2015-11-21,"1%",1.47258301305074,0.01,"ili perc","quantile"
"US National",2015-10-24,4,2015-11-21,"2.5%",1.59428398261846,0.025,"ili perc","quantile"
"US National",2015-10-24,4,2015-11-21,"5%",1.6035039487552,0.05,"ili perc","quantile"
"US National",2015-10-24,4,2015-11-21,"10%",1.64540572244693,0.1,"ili perc","quantile"
"US National",2015-10-24,4,2015-11-21,"15%",1.66977711040121,0.15,"ili perc","quantile"
"US National",2015-10-24,4,2015-11-21,"20%",1.68458105084683,0.2,"ili perc","quantile"
"US National",2015-10-24,4,2015-11-21,"25%",1.70467538886636,0.25,"ili perc","quantile"
"US National",2015-10-24,4,2015-11-21,"30%",1.75152375014409,0.3,"ili perc","quantile"
"US National",2015-10-24,4,2015-11-21,"35%",1.77927962624109,0.35,"ili perc","quantile"
"US National",2015-10-24,4,2015-11-21,"40%",1.80480685244005,0.4,"ili perc","quantile"
"US National",2015-10-24,4,2015-11-21,"45%",1.82746072886912,0.45,"ili perc","quantile"
"US National",2015-10-24,4,2015-11-21,"50%",1.84369214826278,0.5,"ili perc","quantile"
"US National",2015-10-24,4,2015-11-21,"55%",1.86543332020555,0.55,"ili perc","quantile"
"US National",2015-10-24,4,2015-11-21,"60%",1.87628771878243,0.6,"ili perc","quantile"
"US National",2015-10-24,4,2015-11-21,"65%",1.92851363803157,0.65,"ili perc","quantile"
"US National",2015-10-24,4,2015-11-21,"70%",1.93915167235629,0.7,"ili perc","quantile"
"US National",2015-10-24,4,2015-11-21,"75%",1.99138626455026,0.75,"ili perc","quantile"
"US National",2015-10-24,4,2015-11-21,"80%",2.00942890447622,0.8,"ili perc","quantile"
"US National",2015-10-24,4,2015-11-21,"85%",2.04255544704314,0.85,"ili perc","quantile"
"US National",2015-10-24,4,2015-11-21,"90%",2.08486001594749,0.9,"ili perc","quantile"
"US National",2015-10-24,4,2015-11-21,"95%",2.13248281349048,0.95,"ili perc","quantile"
"US National",2015-10-24,4,2015-11-21,"97.5%",2.25567817448781,0.975,"ili perc","quantile"
"US National",2015-10-24,4,2015-11-21,"99%",2.26510752222701,0.99,"ili perc","quantile"
