"location","origin_date","horizon","target_end_date","quantile","value","output_type_id","target","output_type","season"
"US National",2020-02-01,4,2020-02-29,"1%",3.99966547301171,0.01,"ili perc","quantile","2019/2020"
"US National",2020-02-01,4,2020-02-29,"2.5%",4.13312000975289,0.025,"ili perc","quantile","2019/2020"
"US National",2020-02-01,4,2020-02-29,"5%",4.53666360936803,0.05,"ili perc","quantile","2019/2020"
"US National",2020-02-01,4,2020-02-29,"10%",5.29148579151547,0.1,"ili perc","quantile","2019/2020"
"US National",2020-02-01,4,2020-02-29,"15%",5.43915323254968,0.15,"ili perc","quantile","2019/2020"
"US National",2020-02-01,4,2020-02-29,"20%",5.66111139736241,0.2,"ili perc","quantile","2019/2020"
"US National",2020-02-01,4,2020-02-29,"25%",5.92878096592518,0.25,"ili perc","quantile","2019/2020"
"US National",2020-02-01,4,2020-02-29,"30%",6.0863979133533,0.3,"ili perc","quantile","2019/2020"
"US National",2020-02-01,4,2020-02-29,"35%",6.33995132691721,0.35,"ili perc","quantile","2019/2020"
"US National",2020-02-01,4,2020-02-29,"40%",6.52659019744652,0.4,"ili perc","quantile","2019/2020"
"US National",2020-02-01,4,2020-02-29,"45%",6.63437024096579,0.45,"ili perc","quantile","2019/2020"
"US National",2020-02-01,4,2020-02-29,"50%",6.75244354462369,0.5,"ili perc","quantile","2019/2020"
"US National",2020-02-01,4,2020-02-29,"55%",6.88484837426669,0.55,"ili perc","quantile","2019/2020"
"US National",2020-02-01,4,2020-02-29,"60%",7.04220314450462,0.6,"ili perc","quantile","2019/2020"
"US National",2020-02-01,4,2020-02-29,"65%",7.32056275930584,0.65,"ili perc","quantile","2019/2020"
"US National",2020-02-01,4,2020-02-29,"70%",7.52311911376281,0.7,"ili perc","quantile","2019/2020"
"US National",2020-02-01,4,2020-02-29,"75%",7.63704354993852,0.75,"ili perc","quantile","2019/2020"
"US National",2020-02-01,4,2020-02-29,"80%",7.75513140034023,0.8,"ili perc","quantile","2019/2020"
"US National",2020-02-01,4,2020-02-29,"85%",8.34143494750785,0.85,"ili perc","quantile","2019/2020"
"US National",2020-02-01,4,2020-02-29,"90%",9.26108844156209,0.9,"ili perc","quantile","2019/2020"
"US National",2020-02-01,4,2020-02-29,"95%",10.0364240593819,0.95,"ili perc","quantile","2019/2020"
"US National",2020-02-01,4,2020-02-29,"97.5%",11.219884219276,0.975,"ili perc","quantile","2019/2020"
"US National",2020-02-01,4,2020-02-29,"99%",11.8357354683428,0.99,"ili perc","quantile","2019/2020"
