"location","origin_date","horizon","target_end_date","quantile","value","output_type_id","target","output_type","season"
"US National",2016-05-14,4,2016-06-11,"1%",0.638290324501954,0.01,"ili perc","quantile","2015/2016"
"US National",2016-05-14,4,2016-06-11,"2.5%",0.74617603724319,0.025,"ili perc","quantile","2015/2016"
"US National",2016-05-14,4,2016-06-11,"5%",0.878956818648885,0.05,"ili perc","quantile","2015/2016"
"US National",2016-05-14,4,2016-06-11,"10%",0.938792845160411,0.1,"ili perc","quantile","2015/2016"
"US National",2016-05-14,4,2016-06-11,"15%",0.964442096097537,0.15,"ili perc","quantile","2015/2016"
"US National",2016-05-14,4,2016-06-11,"20%",1.0393166861695,0.2,"ili perc","quantile","2015/2016"
"US National",2016-05-14,4,2016-06-11,"25%",1.10835234699517,0.25,"ili perc","quantile","2015/2016"
"US National",2016-05-14,4,2016-06-11,"30%",1.15894577580049,0.3,"ili perc","quantile","2015/2016"
"US National",2016-05-14,4,2016-06-11,"35%",1.20088201246214,0.35,"ili perc","quantile","2015/2016"
"US National",2016-05-14,4,2016-06-11,"40%",1.22924081098165,0.4,"ili perc","quantile","2015/2016"
"US National",2016-05-14,4,2016-06-11,"45%",1.32253778229075,0.45,"ili perc","quantile","2015/2016"
"US National",2016-05-14,4,2016-06-11,"50%",1.3730752682404,0.5,"ili perc","quantile","2015/2016"
"US National",2016-05-14,4,2016-06-11,"55%",1.43382370818055,0.55,"ili perc","quantile","2015/2016"
"US National",2016-05-14,4,2016-06-11,"60%",1.46054265109553,0.6,"ili perc","quantile","2015/2016"
"US National",2016-05-14,4,2016-06-11,"65%",1.52323807450725,0.65,"ili perc","quantile","2015/2016"
"US National",2016-05-14,4,2016-06-11,"70%",1.57966397630359,0.7,"ili perc","quantile","2015/2016"
"US National",2016-05-14,4,2016-06-11,"75%",1.68943346599233,0.75,"ili perc","quantile","2015/2016"
"US National",2016-05-14,4,2016-06-11,"80%",1.83485909966773,0.8,"ili perc","quantile","2015/2016"
"US National",2016-05-14,4,2016-06-11,"85%",1.9584976386052,0.85,"ili perc","quantile","2015/2016"
"US National",2016-05-14,4,2016-06-11,"90%",2.1188616807372,0.9,"ili perc","quantile","2015/2016"
"US National",2016-05-14,4,2016-06-11,"95%",2.15878632632602,0.95,"ili perc","quantile","2015/2016"
"US National",2016-05-14,4,2016-06-11,"97.5%",2.24631637332727,0.975,"ili perc","quantile","2015/2016"
"US National",2016-05-14,4,2016-06-11,"99%",2.32360641709357,0.99,"ili perc","quantile","2015/2016"
