"location","origin_date","horizon","target_end_date","quantile","value","output_type_id","target","output_type","season"
"US National",2015-11-21,4,2015-12-19,"1%",0.675009156969423,0.01,"ili perc","quantile","2015/2016"
"US National",2015-11-21,4,2015-12-19,"2.5%",0.793638295232661,0.025,"ili perc","quantile","2015/2016"
"US National",2015-11-21,4,2015-12-19,"5%",0.868090950650545,0.05,"ili perc","quantile","2015/2016"
"US National",2015-11-21,4,2015-12-19,"10%",0.961217267760122,0.1,"ili perc","quantile","2015/2016"
"US National",2015-11-21,4,2015-12-19,"15%",1.0439618458089,0.15,"ili perc","quantile","2015/2016"
"US National",2015-11-21,4,2015-12-19,"20%",1.1770874289185,0.2,"ili perc","quantile","2015/2016"
"US National",2015-11-21,4,2015-12-19,"25%",1.26370975934001,0.25,"ili perc","quantile","2015/2016"
"US National",2015-11-21,4,2015-12-19,"30%",1.33287509276428,0.3,"ili perc","quantile","2015/2016"
"US National",2015-11-21,4,2015-12-19,"35%",1.41120414723416,0.35,"ili perc","quantile","2015/2016"
"US National",2015-11-21,4,2015-12-19,"40%",1.44127323333883,0.4,"ili perc","quantile","2015/2016"
"US National",2015-11-21,4,2015-12-19,"45%",1.50940215583005,0.45,"ili perc","quantile","2015/2016"
"US National",2015-11-21,4,2015-12-19,"50%",1.59851518233406,0.5,"ili perc","quantile","2015/2016"
"US National",2015-11-21,4,2015-12-19,"55%",1.68414166294654,0.55,"ili perc","quantile","2015/2016"
"US National",2015-11-21,4,2015-12-19,"60%",1.7383698228409,0.6,"ili perc","quantile","2015/2016"
"US National",2015-11-21,4,2015-12-19,"65%",1.78076027825554,0.65,"ili perc","quantile","2015/2016"
"US National",2015-11-21,4,2015-12-19,"70%",1.85287196044572,0.7,"ili perc","quantile","2015/2016"
"US National",2015-11-21,4,2015-12-19,"75%",1.93101921149279,0.75,"ili perc","quantile","2015/2016"
"US National",2015-11-21,4,2015-12-19,"80%",2.01385513164521,0.8,"ili perc","quantile","2015/2016"
"US National",2015-11-21,4,2015-12-19,"85%",2.09258654718979,0.85,"ili perc","quantile","2015/2016"
"US National",2015-11-21,4,2015-12-19,"90%",2.26214829885073,0.9,"ili perc","quantile","2015/2016"
"US National",2015-11-21,4,2015-12-19,"95%",2.60517069551394,0.95,"ili perc","quantile","2015/2016"
"US National",2015-11-21,4,2015-12-19,"97.5%",2.8691256261783,0.975,"ili perc","quantile","2015/2016"
"US National",2015-11-21,4,2015-12-19,"99%",3.22082087979382,0.99,"ili perc","quantile","2015/2016"
