"location","origin_date","horizon","target_end_date","quantile","value","output_type_id","target","output_type","season"
"US National",2016-05-07,4,2016-06-04,"1%",0.705141086744886,0.01,"ili perc","quantile","2015/2016"
"US National",2016-05-07,4,2016-06-04,"2.5%",0.82035797869844,0.025,"ili perc","quantile","2015/2016"
"US National",2016-05-07,4,2016-06-04,"5%",0.955384877695081,0.05,"ili perc","quantile","2015/2016"
"US National",2016-05-07,4,2016-06-04,"10%",1.04390927871044,0.1,"ili perc","quantile","2015/2016"
"US National",2016-05-07,4,2016-06-04,"15%",1.1227257785093,0.15,"ili perc","quantile","2015/2016"
"US National",2016-05-07,4,2016-06-04,"20%",1.15749921429228,0.2,"ili perc","quantile","2015/2016"
"US National",2016-05-07,4,2016-06-04,"25%",1.28759119225469,0.25,"ili perc","quantile","2015/2016"
"US National",2016-05-07,4,2016-06-04,"30%",1.35009402605414,0.3,"ili perc","quantile","2015/2016"
"US National",2016-05-07,4,2016-06-04,"35%",1.4061367371533,0.35,"ili perc","quantile","2015/2016"
"US National",2016-05-07,4,2016-06-04,"40%",1.48504276715259,0.4,"ili perc","quantile","2015/2016"
"US National",2016-05-07,4,2016-06-04,"45%",1.53469865844683,0.45,"ili perc","quantile","2015/2016"
"US National",2016-05-07,4,2016-06-04,"50%",1.56704104215447,0.5,"ili perc","quantile","2015/2016"
"US National",2016-05-07,4,2016-06-04,"55%",1.60613583256241,0.55,"ili perc","quantile","2015/2016"
"US National",2016-05-07,4,2016-06-04,"60%",1.67777562230461,0.6,"ili perc","quantile","2015/2016"
"US National",2016-05-07,4,2016-06-04,"65%",1.75643568813259,0.65,"ili perc","quantile","2015/2016"
"US National",2016-05-07,4,2016-06-04,"70%",1.79466729497828,0.7,"ili perc","quantile","2015/2016"
"US National",2016-05-07,4,2016-06-04,"75%",1.87736080443887,0.75,"ili perc","quantile","2015/2016"
"US National",2016-05-07,4,2016-06-04,"80%",1.99486422568466,0.8,"ili perc","quantile","2015/2016"
"US National",2016-05-07,4,2016-06-04,"85%",2.21289170853247,0.85,"ili perc","quantile","2015/2016"
"US National",2016-05-07,4,2016-06-04,"90%",2.36976662511793,0.9,"ili perc","quantile","2015/2016"
"US National",2016-05-07,4,2016-06-04,"95%",2.64984995792006,0.95,"ili perc","quantile","2015/2016"
"US National",2016-05-07,4,2016-06-04,"97.5%",3.16619387771849,0.975,"ili perc","quantile","2015/2016"
"US National",2016-05-07,4,2016-06-04,"99%",3.25010943559263,0.99,"ili perc","quantile","2015/2016"
