"location","origin_date","horizon","target_end_date","quantile","value","output_type_id","target","output_type","season"
"US National",2015-11-14,4,2015-12-12,"1%",0.808511192803042,0.01,"ili perc","quantile","2015/2016"
"US National",2015-11-14,4,2015-12-12,"2.5%",0.843938011087308,0.025,"ili perc","quantile","2015/2016"
"US National",2015-11-14,4,2015-12-12,"5%",0.868089522353631,0.05,"ili perc","quantile","2015/2016"
"US National",2015-11-14,4,2015-12-12,"10%",1.00912273348304,0.1,"ili perc","quantile","2015/2016"
"US National",2015-11-14,4,2015-12-12,"15%",1.06709274292796,0.15,"ili perc","quantile","2015/2016"
"US National",2015-11-14,4,2015-12-12,"20%",1.10344057538173,0.2,"ili perc","quantile","2015/2016"
"US National",2015-11-14,4,2015-12-12,"25%",1.16532073886051,0.25,"ili perc","quantile","2015/2016"
"US National",2015-11-14,4,2015-12-12,"30%",1.2281508381179,0.3,"ili perc","quantile","2015/2016"
"US National",2015-11-14,4,2015-12-12,"35%",1.30597249032292,0.35,"ili perc","quantile","2015/2016"
"US National",2015-11-14,4,2015-12-12,"40%",1.34321847812621,0.4,"ili perc","quantile","2015/2016"
"US National",2015-11-14,4,2015-12-12,"45%",1.38957491206321,0.45,"ili perc","quantile","2015/2016"
"US National",2015-11-14,4,2015-12-12,"50%",1.43910248344133,0.5,"ili perc","quantile","2015/2016"
"US National",2015-11-14,4,2015-12-12,"55%",1.50180505009072,0.55,"ili perc","quantile","2015/2016"
"US National",2015-11-14,4,2015-12-12,"60%",1.54931278187028,0.6,"ili perc","quantile","2015/2016"
"US National",2015-11-14,4,2015-12-12,"65%",1.63966336643113,0.65,"ili perc","quantile","2015/2016"
"US National",2015-11-14,4,2015-12-12,"70%",1.69544336158974,0.7,"ili perc","quantile","2015/2016"
"US National",2015-11-14,4,2015-12-12,"75%",1.74218237633277,0.75,"ili perc","quantile","2015/2016"
"US National",2015-11-14,4,2015-12-12,"80%",1.86270076512438,0.8,"ili perc","quantile","2015/2016"
"US National",2015-11-14,4,2015-12-12,"85%",1.94185010097374,0.85,"ili perc","quantile","2015/2016"
"US National",2015-11-14,4,2015-12-12,"90%",2.10301211806557,0.9,"ili perc","quantile","2015/2016"
"US National",2015-11-14,4,2015-12-12,"95%",2.46207102932072,0.95,"ili perc","quantile","2015/2016"
"US National",2015-11-14,4,2015-12-12,"97.5%",3.02794239009752,0.975,"ili perc","quantile","2015/2016"
"US National",2015-11-14,4,2015-12-12,"99%",3.2438734721264,0.99,"ili perc","quantile","2015/2016"
