"location","origin_date","horizon","target_end_date","quantile","value","output_type_id","target","output_type"
"US National",2015-12-12,4,2016-01-09,"1%",2.70938708272329,0.01,"ili perc","quantile"
"US National",2015-12-12,4,2016-01-09,"2.5%",2.79877983224526,0.025,"ili perc","quantile"
"US National",2015-12-12,4,2016-01-09,"5%",2.91176444718078,0.05,"ili perc","quantile"
"US National",2015-12-12,4,2016-01-09,"10%",3.02173143344293,0.1,"ili perc","quantile"
"US National",2015-12-12,4,2016-01-09,"15%",3.10977384024724,0.15,"ili perc","quantile"
"US National",2015-12-12,4,2016-01-09,"20%",3.20119974683825,0.2,"ili perc","quantile"
"US National",2015-12-12,4,2016-01-09,"25%",3.22818072611321,0.25,"ili perc","quantile"
"US National",2015-12-12,4,2016-01-09,"30%",3.28104257042373,0.3,"ili perc","quantile"
"US National",2015-12-12,4,2016-01-09,"35%",3.30557765047425,0.35,"ili perc","quantile"
"US National",2015-12-12,4,2016-01-09,"40%",3.32722000525918,0.4,"ili perc","quantile"
"US National",2015-12-12,4,2016-01-09,"45%",3.34612139463185,0.45,"ili perc","quantile"
"US National",2015-12-12,4,2016-01-09,"50%",3.3771865715121,0.5,"ili perc","quantile"
"US National",2015-12-12,4,2016-01-09,"55%",3.43519940631088,0.55,"ili perc","quantile"
"US National",2015-12-12,4,2016-01-09,"60%",3.45813681525054,0.6,"ili perc","quantile"
"US National",2015-12-12,4,2016-01-09,"65%",3.49053213225813,0.65,"ili perc","quantile"
"US National",2015-12-12,4,2016-01-09,"70%",3.53602810417961,0.7,"ili perc","quantile"
"US National",2015-12-12,4,2016-01-09,"75%",3.54944539176164,0.75,"ili perc","quantile"
"US National",2015-12-12,4,2016-01-09,"80%",3.62691011541049,0.8,"ili perc","quantile"
"US National",2015-12-12,4,2016-01-09,"85%",3.71109492633756,0.85,"ili perc","quantile"
"US National",2015-12-12,4,2016-01-09,"90%",3.79618736409614,0.9,"ili perc","quantile"
"US National",2015-12-12,4,2016-01-09,"95%",3.87414853586798,0.95,"ili perc","quantile"
"US National",2015-12-12,4,2016-01-09,"97.5%",3.9804624154934,0.975,"ili perc","quantile"
"US National",2015-12-12,4,2016-01-09,"99%",4.06775595533024,0.99,"ili perc","quantile"
