"location","origin_date","horizon","target_end_date","quantile","value","output_type_id","target","output_type"
"US National",2015-11-14,4,2015-12-12,"1%",1.54994736944487,0.01,"ili perc","quantile"
"US National",2015-11-14,4,2015-12-12,"2.5%",1.76494660874576,0.025,"ili perc","quantile"
"US National",2015-11-14,4,2015-12-12,"5%",1.81472458402175,0.05,"ili perc","quantile"
"US National",2015-11-14,4,2015-12-12,"10%",1.84206380223278,0.1,"ili perc","quantile"
"US National",2015-11-14,4,2015-12-12,"15%",1.85819319271786,0.15,"ili perc","quantile"
"US National",2015-11-14,4,2015-12-12,"20%",1.87435168299335,0.2,"ili perc","quantile"
"US National",2015-11-14,4,2015-12-12,"25%",1.89461297031041,0.25,"ili perc","quantile"
"US National",2015-11-14,4,2015-12-12,"30%",1.92067488346615,0.3,"ili perc","quantile"
"US National",2015-11-14,4,2015-12-12,"35%",1.95036280077583,0.35,"ili perc","quantile"
"US National",2015-11-14,4,2015-12-12,"40%",1.95966429639821,0.4,"ili perc","quantile"
"US National",2015-11-14,4,2015-12-12,"45%",2.00234562367934,0.45,"ili perc","quantile"
"US National",2015-11-14,4,2015-12-12,"50%",2.0175113991681,0.5,"ili perc","quantile"
"US National",2015-11-14,4,2015-12-12,"55%",2.0539237884286,0.55,"ili perc","quantile"
"US National",2015-11-14,4,2015-12-12,"60%",2.0630437036404,0.6,"ili perc","quantile"
"US National",2015-11-14,4,2015-12-12,"65%",2.0743393874942,0.65,"ili perc","quantile"
"US National",2015-11-14,4,2015-12-12,"70%",2.09880003225883,0.7,"ili perc","quantile"
"US National",2015-11-14,4,2015-12-12,"75%",2.11994811143754,0.75,"ili perc","quantile"
"US National",2015-11-14,4,2015-12-12,"80%",2.13796389792121,0.8,"ili perc","quantile"
"US National",2015-11-14,4,2015-12-12,"85%",2.15678520334754,0.85,"ili perc","quantile"
"US National",2015-11-14,4,2015-12-12,"90%",2.19195276197193,0.9,"ili perc","quantile"
"US National",2015-11-14,4,2015-12-12,"95%",2.290442566294,0.95,"ili perc","quantile"
"US National",2015-11-14,4,2015-12-12,"97.5%",2.33258986109638,0.975,"ili perc","quantile"
"US National",2015-11-14,4,2015-12-12,"99%",2.37479060084029,0.99,"ili perc","quantile"
