"location","origin_date","horizon","target_end_date","quantile","value","output_type_id","target","output_type"
"US National",2016-04-16,4,2016-05-14,"1%",1.04411506651225,0.01,"ili perc","quantile"
"US National",2016-04-16,4,2016-05-14,"2.5%",1.10269203272912,0.025,"ili perc","quantile"
"US National",2016-04-16,4,2016-05-14,"5%",1.12793630519787,0.05,"ili perc","quantile"
"US National",2016-04-16,4,2016-05-14,"10%",1.17215712137377,0.1,"ili perc","quantile"
"US National",2016-04-16,4,2016-05-14,"15%",1.1978365574262,0.15,"ili perc","quantile"
"US National",2016-04-16,4,2016-05-14,"20%",1.22840156063851,0.2,"ili perc","quantile"
"US National",2016-04-16,4,2016-05-14,"25%",1.23722139156102,0.25,"ili perc","quantile"
"US National",2016-04-16,4,2016-05-14,"30%",1.25066133866662,0.3,"ili perc","quantile"
"US National",2016-04-16,4,2016-05-14,"35%",1.27221288576317,0.35,"ili perc","quantile"
"US National",2016-04-16,4,2016-05-14,"40%",1.29162561601339,0.4,"ili perc","quantile"
"US National",2016-04-16,4,2016-05-14,"45%",1.30985755491808,0.45,"ili perc","quantile"
"US National",2016-04-16,4,2016-05-14,"50%",1.32481238554751,0.5,"ili perc","quantile"
"US National",2016-04-16,4,2016-05-14,"55%",1.33670963474283,0.55,"ili perc","quantile"
"US National",2016-04-16,4,2016-05-14,"60%",1.36886939697953,0.6,"ili perc","quantile"
"US National",2016-04-16,4,2016-05-14,"65%",1.37868243720299,0.65,"ili perc","quantile"
"US National",2016-04-16,4,2016-05-14,"70%",1.42723022372759,0.7,"ili perc","quantile"
"US National",2016-04-16,4,2016-05-14,"75%",1.44854124929237,0.75,"ili perc","quantile"
"US National",2016-04-16,4,2016-05-14,"80%",1.45982282003234,0.8,"ili perc","quantile"
"US National",2016-04-16,4,2016-05-14,"85%",1.48784461219189,0.85,"ili perc","quantile"
"US National",2016-04-16,4,2016-05-14,"90%",1.51196076453356,0.9,"ili perc","quantile"
"US National",2016-04-16,4,2016-05-14,"95%",1.60285572326678,0.95,"ili perc","quantile"
"US National",2016-04-16,4,2016-05-14,"97.5%",1.69021386030227,0.975,"ili perc","quantile"
"US National",2016-04-16,4,2016-05-14,"99%",1.7772845957999,0.99,"ili perc","quantile"
