"location","origin_date","horizon","target_end_date","quantile","value","output_type_id","target","output_type"
"US National",2016-01-30,4,2016-02-27,"1%",1.72953129306257,0.01,"ili perc","quantile"
"US National",2016-01-30,4,2016-02-27,"2.5%",1.98627422310879,0.025,"ili perc","quantile"
"US National",2016-01-30,4,2016-02-27,"5%",2.02184671493438,0.05,"ili perc","quantile"
"US National",2016-01-30,4,2016-02-27,"10%",2.10005531799089,0.1,"ili perc","quantile"
"US National",2016-01-30,4,2016-02-27,"15%",2.17555163457763,0.15,"ili perc","quantile"
"US National",2016-01-30,4,2016-02-27,"20%",2.22188509530685,0.2,"ili perc","quantile"
"US National",2016-01-30,4,2016-02-27,"25%",2.32166614620168,0.25,"ili perc","quantile"
"US National",2016-01-30,4,2016-02-27,"30%",2.34996945149971,0.3,"ili perc","quantile"
"US National",2016-01-30,4,2016-02-27,"35%",2.41722162614941,0.35,"ili perc","quantile"
"US National",2016-01-30,4,2016-02-27,"40%",2.45868216802945,0.4,"ili perc","quantile"
"US National",2016-01-30,4,2016-02-27,"45%",2.56401012192579,0.45,"ili perc","quantile"
"US National",2016-01-30,4,2016-02-27,"50%",2.58882280194161,0.5,"ili perc","quantile"
"US National",2016-01-30,4,2016-02-27,"55%",2.62641566491375,0.55,"ili perc","quantile"
"US National",2016-01-30,4,2016-02-27,"60%",2.67980216149042,0.6,"ili perc","quantile"
"US National",2016-01-30,4,2016-02-27,"65%",2.70174471593785,0.65,"ili perc","quantile"
"US National",2016-01-30,4,2016-02-27,"70%",2.83048906507081,0.7,"ili perc","quantile"
"US National",2016-01-30,4,2016-02-27,"75%",2.89075158083776,0.75,"ili perc","quantile"
"US National",2016-01-30,4,2016-02-27,"80%",2.98515567046328,0.8,"ili perc","quantile"
"US National",2016-01-30,4,2016-02-27,"85%",3.15043990516954,0.85,"ili perc","quantile"
"US National",2016-01-30,4,2016-02-27,"90%",3.24399753259051,0.9,"ili perc","quantile"
"US National",2016-01-30,4,2016-02-27,"95%",3.49409459126292,0.95,"ili perc","quantile"
"US National",2016-01-30,4,2016-02-27,"97.5%",3.70954651952435,0.975,"ili perc","quantile"
"US National",2016-01-30,4,2016-02-27,"99%",3.88403613330584,0.99,"ili perc","quantile"
