"location","origin_date","horizon","target_end_date","quantile","value","output_type_id","target","output_type"
"US National",2016-04-02,4,2016-04-30,"1%",1.10736758400448,0.01,"ili perc","quantile"
"US National",2016-04-02,4,2016-04-30,"2.5%",1.11509381011286,0.025,"ili perc","quantile"
"US National",2016-04-02,4,2016-04-30,"5%",1.14815909219696,0.05,"ili perc","quantile"
"US National",2016-04-02,4,2016-04-30,"10%",1.19641557185792,0.1,"ili perc","quantile"
"US National",2016-04-02,4,2016-04-30,"15%",1.24586381596569,0.15,"ili perc","quantile"
"US National",2016-04-02,4,2016-04-30,"20%",1.25701024177678,0.2,"ili perc","quantile"
"US National",2016-04-02,4,2016-04-30,"25%",1.27243449369279,0.25,"ili perc","quantile"
"US National",2016-04-02,4,2016-04-30,"30%",1.28570551890815,0.3,"ili perc","quantile"
"US National",2016-04-02,4,2016-04-30,"35%",1.29929893925712,0.35,"ili perc","quantile"
"US National",2016-04-02,4,2016-04-30,"40%",1.30969246775124,0.4,"ili perc","quantile"
"US National",2016-04-02,4,2016-04-30,"45%",1.33692095528349,0.45,"ili perc","quantile"
"US National",2016-04-02,4,2016-04-30,"50%",1.35698206856231,0.5,"ili perc","quantile"
"US National",2016-04-02,4,2016-04-30,"55%",1.36935699973534,0.55,"ili perc","quantile"
"US National",2016-04-02,4,2016-04-30,"60%",1.38258312335459,0.6,"ili perc","quantile"
"US National",2016-04-02,4,2016-04-30,"65%",1.39850171926925,0.65,"ili perc","quantile"
"US National",2016-04-02,4,2016-04-30,"70%",1.41987291309846,0.7,"ili perc","quantile"
"US National",2016-04-02,4,2016-04-30,"75%",1.46870825587816,0.75,"ili perc","quantile"
"US National",2016-04-02,4,2016-04-30,"80%",1.48746862566602,0.8,"ili perc","quantile"
"US National",2016-04-02,4,2016-04-30,"85%",1.50956370294493,0.85,"ili perc","quantile"
"US National",2016-04-02,4,2016-04-30,"90%",1.5595393851446,0.9,"ili perc","quantile"
"US National",2016-04-02,4,2016-04-30,"95%",1.60614258028792,0.95,"ili perc","quantile"
"US National",2016-04-02,4,2016-04-30,"97.5%",1.69142615482307,0.975,"ili perc","quantile"
"US National",2016-04-02,4,2016-04-30,"99%",1.72221733773887,0.99,"ili perc","quantile"
