"location","origin_date","horizon","target_end_date","quantile","value","output_type_id","target","output_type"
"US National",2015-11-28,4,2015-12-26,"1%",1.4469784941702,0.01,"ili perc","quantile"
"US National",2015-11-28,4,2015-12-26,"2.5%",1.67777944161245,0.025,"ili perc","quantile"
"US National",2015-11-28,4,2015-12-26,"5%",1.79764029641554,0.05,"ili perc","quantile"
"US National",2015-11-28,4,2015-12-26,"10%",1.95212762638649,0.1,"ili perc","quantile"
"US National",2015-11-28,4,2015-12-26,"15%",2.08608532579158,0.15,"ili perc","quantile"
"US National",2015-11-28,4,2015-12-26,"20%",2.26902693492843,0.2,"ili perc","quantile"
"US National",2015-11-28,4,2015-12-26,"25%",2.37547349957445,0.25,"ili perc","quantile"
"US National",2015-11-28,4,2015-12-26,"30%",2.45060142266263,0.3,"ili perc","quantile"
"US National",2015-11-28,4,2015-12-26,"35%",2.50042897396145,0.35,"ili perc","quantile"
"US National",2015-11-28,4,2015-12-26,"40%",2.58236187815752,0.4,"ili perc","quantile"
"US National",2015-11-28,4,2015-12-26,"45%",2.63450043182151,0.45,"ili perc","quantile"
"US National",2015-11-28,4,2015-12-26,"50%",2.67887495761682,0.5,"ili perc","quantile"
"US National",2015-11-28,4,2015-12-26,"55%",2.74048969671911,0.55,"ili perc","quantile"
"US National",2015-11-28,4,2015-12-26,"60%",2.79233884938096,0.6,"ili perc","quantile"
"US National",2015-11-28,4,2015-12-26,"65%",2.84917943203945,0.65,"ili perc","quantile"
"US National",2015-11-28,4,2015-12-26,"70%",2.93369752994183,0.7,"ili perc","quantile"
"US National",2015-11-28,4,2015-12-26,"75%",3.0135262497223,0.75,"ili perc","quantile"
"US National",2015-11-28,4,2015-12-26,"80%",3.09031629801803,0.8,"ili perc","quantile"
"US National",2015-11-28,4,2015-12-26,"85%",3.2404556591482,0.85,"ili perc","quantile"
"US National",2015-11-28,4,2015-12-26,"90%",3.55194138585481,0.9,"ili perc","quantile"
"US National",2015-11-28,4,2015-12-26,"95%",3.73007400639586,0.95,"ili perc","quantile"
"US National",2015-11-28,4,2015-12-26,"97.5%",3.90162041677434,0.975,"ili perc","quantile"
"US National",2015-11-28,4,2015-12-26,"99%",4.13471253012117,0.99,"ili perc","quantile"
