"location","origin_date","horizon","target_end_date","quantile","value","output_type_id","target","output_type"
"US National",2015-12-12,4,2016-01-09,"1%",2.54735581608884,0.01,"ili perc","quantile"
"US National",2015-12-12,4,2016-01-09,"2.5%",2.6503703523034,0.025,"ili perc","quantile"
"US National",2015-12-12,4,2016-01-09,"5%",2.84522423250358,0.05,"ili perc","quantile"
"US National",2015-12-12,4,2016-01-09,"10%",2.90755555085679,0.1,"ili perc","quantile"
"US National",2015-12-12,4,2016-01-09,"15%",2.96878393847346,0.15,"ili perc","quantile"
"US National",2015-12-12,4,2016-01-09,"20%",3.0243536385489,0.2,"ili perc","quantile"
"US National",2015-12-12,4,2016-01-09,"25%",3.05369083586303,0.25,"ili perc","quantile"
"US National",2015-12-12,4,2016-01-09,"30%",3.0985637128325,0.3,"ili perc","quantile"
"US National",2015-12-12,4,2016-01-09,"35%",3.11760413115559,0.35,"ili perc","quantile"
"US National",2015-12-12,4,2016-01-09,"40%",3.19408358429644,0.4,"ili perc","quantile"
"US National",2015-12-12,4,2016-01-09,"45%",3.24608369075085,0.45,"ili perc","quantile"
"US National",2015-12-12,4,2016-01-09,"50%",3.27549364147042,0.5,"ili perc","quantile"
"US National",2015-12-12,4,2016-01-09,"55%",3.325266899775,0.55,"ili perc","quantile"
"US National",2015-12-12,4,2016-01-09,"60%",3.35709154715135,0.6,"ili perc","quantile"
"US National",2015-12-12,4,2016-01-09,"65%",3.40829134059399,0.65,"ili perc","quantile"
"US National",2015-12-12,4,2016-01-09,"70%",3.45243745443374,0.7,"ili perc","quantile"
"US National",2015-12-12,4,2016-01-09,"75%",3.52989239915589,0.75,"ili perc","quantile"
"US National",2015-12-12,4,2016-01-09,"80%",3.58591966228969,0.8,"ili perc","quantile"
"US National",2015-12-12,4,2016-01-09,"85%",3.61693072623515,0.85,"ili perc","quantile"
"US National",2015-12-12,4,2016-01-09,"90%",3.6633303808824,0.9,"ili perc","quantile"
"US National",2015-12-12,4,2016-01-09,"95%",3.80097727775005,0.95,"ili perc","quantile"
"US National",2015-12-12,4,2016-01-09,"97.5%",3.85130004281701,0.975,"ili perc","quantile"
"US National",2015-12-12,4,2016-01-09,"99%",3.88147394183463,0.99,"ili perc","quantile"
