"location","origin_date","horizon","target_end_date","quantile","value","output_type_id","target","output_type"
"US National",2016-05-07,4,2016-06-04,"1%",0.850065981109197,0.01,"ili perc","quantile"
"US National",2016-05-07,4,2016-06-04,"2.5%",0.931865077921671,0.025,"ili perc","quantile"
"US National",2016-05-07,4,2016-06-04,"5%",0.975453511329543,0.05,"ili perc","quantile"
"US National",2016-05-07,4,2016-06-04,"10%",1.02222607526591,0.1,"ili perc","quantile"
"US National",2016-05-07,4,2016-06-04,"15%",1.04881230842594,0.15,"ili perc","quantile"
"US National",2016-05-07,4,2016-06-04,"20%",1.08486994876585,0.2,"ili perc","quantile"
"US National",2016-05-07,4,2016-06-04,"25%",1.10417959039331,0.25,"ili perc","quantile"
"US National",2016-05-07,4,2016-06-04,"30%",1.1193746879221,0.3,"ili perc","quantile"
"US National",2016-05-07,4,2016-06-04,"35%",1.15023814146772,0.35,"ili perc","quantile"
"US National",2016-05-07,4,2016-06-04,"40%",1.1723614282498,0.4,"ili perc","quantile"
"US National",2016-05-07,4,2016-06-04,"45%",1.18992568610093,0.45,"ili perc","quantile"
"US National",2016-05-07,4,2016-06-04,"50%",1.20092803249327,0.5,"ili perc","quantile"
"US National",2016-05-07,4,2016-06-04,"55%",1.22235541993303,0.55,"ili perc","quantile"
"US National",2016-05-07,4,2016-06-04,"60%",1.22929982088,0.6,"ili perc","quantile"
"US National",2016-05-07,4,2016-06-04,"65%",1.23833686240716,0.65,"ili perc","quantile"
"US National",2016-05-07,4,2016-06-04,"70%",1.26255971744501,0.7,"ili perc","quantile"
"US National",2016-05-07,4,2016-06-04,"75%",1.28551720252353,0.75,"ili perc","quantile"
"US National",2016-05-07,4,2016-06-04,"80%",1.30269523040732,0.8,"ili perc","quantile"
"US National",2016-05-07,4,2016-06-04,"85%",1.32550893581561,0.85,"ili perc","quantile"
"US National",2016-05-07,4,2016-06-04,"90%",1.37854864611276,0.9,"ili perc","quantile"
"US National",2016-05-07,4,2016-06-04,"95%",1.40893797942296,0.95,"ili perc","quantile"
"US National",2016-05-07,4,2016-06-04,"97.5%",1.43952971816222,0.975,"ili perc","quantile"
"US National",2016-05-07,4,2016-06-04,"99%",1.44984573588201,0.99,"ili perc","quantile"
