"location","origin_date","horizon","target_end_date","quantile","value","output_type_id","target","output_type"
"US National",2016-03-12,4,2016-04-09,"1%",1.72426203124625,0.01,"ili perc","quantile"
"US National",2016-03-12,4,2016-04-09,"2.5%",1.88195403805353,0.025,"ili perc","quantile"
"US National",2016-03-12,4,2016-04-09,"5%",1.94804694811222,0.05,"ili perc","quantile"
"US National",2016-03-12,4,2016-04-09,"10%",2.06566433498889,0.1,"ili perc","quantile"
"US National",2016-03-12,4,2016-04-09,"15%",2.13375598331678,0.15,"ili perc","quantile"
"US National",2016-03-12,4,2016-04-09,"20%",2.2021994994143,0.2,"ili perc","quantile"
"US National",2016-03-12,4,2016-04-09,"25%",2.26499094985653,0.25,"ili perc","quantile"
"US National",2016-03-12,4,2016-04-09,"30%",2.33849658188228,0.3,"ili perc","quantile"
"US National",2016-03-12,4,2016-04-09,"35%",2.3626581183078,0.35,"ili perc","quantile"
"US National",2016-03-12,4,2016-04-09,"40%",2.39436825896234,0.4,"ili perc","quantile"
"US National",2016-03-12,4,2016-04-09,"45%",2.4379651207716,0.45,"ili perc","quantile"
"US National",2016-03-12,4,2016-04-09,"50%",2.46023384453422,0.5,"ili perc","quantile"
"US National",2016-03-12,4,2016-04-09,"55%",2.50401643645088,0.55,"ili perc","quantile"
"US National",2016-03-12,4,2016-04-09,"60%",2.5566404116868,0.6,"ili perc","quantile"
"US National",2016-03-12,4,2016-04-09,"65%",2.58285433418697,0.65,"ili perc","quantile"
"US National",2016-03-12,4,2016-04-09,"70%",2.61806846086078,0.7,"ili perc","quantile"
"US National",2016-03-12,4,2016-04-09,"75%",2.64606708121631,0.75,"ili perc","quantile"
"US National",2016-03-12,4,2016-04-09,"80%",2.72331010600805,0.8,"ili perc","quantile"
"US National",2016-03-12,4,2016-04-09,"85%",2.75987803688254,0.85,"ili perc","quantile"
"US National",2016-03-12,4,2016-04-09,"90%",2.82754446834572,0.9,"ili perc","quantile"
"US National",2016-03-12,4,2016-04-09,"95%",3.01504696655649,0.95,"ili perc","quantile"
"US National",2016-03-12,4,2016-04-09,"97.5%",3.09053698969152,0.975,"ili perc","quantile"
"US National",2016-03-12,4,2016-04-09,"99%",3.13389924701528,0.99,"ili perc","quantile"
