"location","origin_date","horizon","target_end_date","output_type_id","target","output_type","value"
"HHS Region 1",2019-03-30,1,2019-04-06,0.01,"ili perc","quantile",1.20413810633448
"HHS Region 1",2019-03-30,1,2019-04-06,0.025,"ili perc","quantile",1.35684519993594
"HHS Region 1",2019-03-30,1,2019-04-06,0.05,"ili perc","quantile",1.54477618314992
"HHS Region 1",2019-03-30,1,2019-04-06,0.1,"ili perc","quantile",1.79363578774122
"HHS Region 1",2019-03-30,1,2019-04-06,0.15,"ili perc","quantile",1.87994726112496
"HHS Region 1",2019-03-30,1,2019-04-06,0.2,"ili perc","quantile",1.96672518120191
"HHS Region 1",2019-03-30,1,2019-04-06,0.25,"ili perc","quantile",2.00209237352924
"HHS Region 1",2019-03-30,1,2019-04-06,0.3,"ili perc","quantile",2.05635054824038
"HHS Region 1",2019-03-30,1,2019-04-06,0.35,"ili perc","quantile",2.10183410556963
"HHS Region 1",2019-03-30,1,2019-04-06,0.4,"ili perc","quantile",2.14133889374244
"HHS Region 1",2019-03-30,1,2019-04-06,0.45,"ili perc","quantile",2.17646984240244
"HHS Region 1",2019-03-30,1,2019-04-06,0.5,"ili perc","quantile",2.20910816851048
"HHS Region 1",2019-03-30,1,2019-04-06,0.55,"ili perc","quantile",2.2405683543348
"HHS Region 1",2019-03-30,1,2019-04-06,0.6,"ili perc","quantile",2.29256812971688
"HHS Region 1",2019-03-30,1,2019-04-06,0.65,"ili perc","quantile",2.35250493497054
"HHS Region 1",2019-03-30,1,2019-04-06,0.7,"ili perc","quantile",2.41675227217601
"HHS Region 1",2019-03-30,1,2019-04-06,0.75,"ili perc","quantile",2.47430908599657
"HHS Region 1",2019-03-30,1,2019-04-06,0.8,"ili perc","quantile",2.60729447889148
"HHS Region 1",2019-03-30,1,2019-04-06,0.85,"ili perc","quantile",2.71092354962027
"HHS Region 1",2019-03-30,1,2019-04-06,0.9,"ili perc","quantile",2.88260252314904
"HHS Region 1",2019-03-30,1,2019-04-06,0.95,"ili perc","quantile",3.0934326977521
"HHS Region 1",2019-03-30,1,2019-04-06,0.975,"ili perc","quantile",3.36558373806163
"HHS Region 1",2019-03-30,1,2019-04-06,0.99,"ili perc","quantile",4.36232968464964
"HHS Region 1",2019-03-30,2,2019-04-13,0.01,"ili perc","quantile",1.21749047394827
"HHS Region 1",2019-03-30,2,2019-04-13,0.025,"ili perc","quantile",1.30536784402559
"HHS Region 1",2019-03-30,2,2019-04-13,0.05,"ili perc","quantile",1.40870553667785
"HHS Region 1",2019-03-30,2,2019-04-13,0.1,"ili perc","quantile",1.63611933005374
"HHS Region 1",2019-03-30,2,2019-04-13,0.15,"ili perc","quantile",1.72948125365724
"HHS Region 1",2019-03-30,2,2019-04-13,0.2,"ili perc","quantile",1.80989149372914
"HHS Region 1",2019-03-30,2,2019-04-13,0.25,"ili perc","quantile",1.87948078454181
"HHS Region 1",2019-03-30,2,2019-04-13,0.3,"ili perc","quantile",1.94174003205619
"HHS Region 1",2019-03-30,2,2019-04-13,0.35,"ili perc","quantile",2.01513785971996
"HHS Region 1",2019-03-30,2,2019-04-13,0.4,"ili perc","quantile",2.06861155726516
"HHS Region 1",2019-03-30,2,2019-04-13,0.45,"ili perc","quantile",2.13531222201852
"HHS Region 1",2019-03-30,2,2019-04-13,0.5,"ili perc","quantile",2.17976632977963
"HHS Region 1",2019-03-30,2,2019-04-13,0.55,"ili perc","quantile",2.22178368126616
"HHS Region 1",2019-03-30,2,2019-04-13,0.6,"ili perc","quantile",2.27710176152626
"HHS Region 1",2019-03-30,2,2019-04-13,0.65,"ili perc","quantile",2.33191918472918
"HHS Region 1",2019-03-30,2,2019-04-13,0.7,"ili perc","quantile",2.4094649270387
"HHS Region 1",2019-03-30,2,2019-04-13,0.75,"ili perc","quantile",2.55354728524083
"HHS Region 1",2019-03-30,2,2019-04-13,0.8,"ili perc","quantile",2.62625934538333
"HHS Region 1",2019-03-30,2,2019-04-13,0.85,"ili perc","quantile",2.72793862899784
"HHS Region 1",2019-03-30,2,2019-04-13,0.9,"ili perc","quantile",2.92850482384453
"HHS Region 1",2019-03-30,2,2019-04-13,0.95,"ili perc","quantile",3.4322902119375
"HHS Region 1",2019-03-30,2,2019-04-13,0.975,"ili perc","quantile",3.732543712603
"HHS Region 1",2019-03-30,2,2019-04-13,0.99,"ili perc","quantile",3.95574693706507
"HHS Region 1",2019-03-30,3,2019-04-20,0.01,"ili perc","quantile",0.806943670263688
"HHS Region 1",2019-03-30,3,2019-04-20,0.025,"ili perc","quantile",1.06909158519238
"HHS Region 1",2019-03-30,3,2019-04-20,0.05,"ili perc","quantile",1.3254563018876
"HHS Region 1",2019-03-30,3,2019-04-20,0.1,"ili perc","quantile",1.52125646819025
"HHS Region 1",2019-03-30,3,2019-04-20,0.15,"ili perc","quantile",1.64483554778312
"HHS Region 1",2019-03-30,3,2019-04-20,0.2,"ili perc","quantile",1.73849978257783
"HHS Region 1",2019-03-30,3,2019-04-20,0.25,"ili perc","quantile",1.82040023104957
"HHS Region 1",2019-03-30,3,2019-04-20,0.3,"ili perc","quantile",1.90139753789261
"HHS Region 1",2019-03-30,3,2019-04-20,0.35,"ili perc","quantile",1.95772471842557
"HHS Region 1",2019-03-30,3,2019-04-20,0.4,"ili perc","quantile",2.03132801124606
"HHS Region 1",2019-03-30,3,2019-04-20,0.45,"ili perc","quantile",2.07353657380532
"HHS Region 1",2019-03-30,3,2019-04-20,0.5,"ili perc","quantile",2.12231420175621
"HHS Region 1",2019-03-30,3,2019-04-20,0.55,"ili perc","quantile",2.1780025410564
"HHS Region 1",2019-03-30,3,2019-04-20,0.6,"ili perc","quantile",2.2278817901462
"HHS Region 1",2019-03-30,3,2019-04-20,0.65,"ili perc","quantile",2.34899319452332
"HHS Region 1",2019-03-30,3,2019-04-20,0.7,"ili perc","quantile",2.46981984159924
"HHS Region 1",2019-03-30,3,2019-04-20,0.75,"ili perc","quantile",2.57294131547297
"HHS Region 1",2019-03-30,3,2019-04-20,0.8,"ili perc","quantile",2.68711160353703
"HHS Region 1",2019-03-30,3,2019-04-20,0.85,"ili perc","quantile",2.82370824439707
"HHS Region 1",2019-03-30,3,2019-04-20,0.9,"ili perc","quantile",3.07708112124555
"HHS Region 1",2019-03-30,3,2019-04-20,0.95,"ili perc","quantile",3.63659643340104
"HHS Region 1",2019-03-30,3,2019-04-20,0.975,"ili perc","quantile",4.0794719024227
