"release_date","region","issue","epiweek","lag","num_ili","num_patients","num_providers","num_age_0","num_age_1","num_age_2","num_age_3","num_age_4","num_age_5","wili","ili"
2013-12-31,"nat",2013-12-22,2003-08-24,539,463,70000,276,166,155,112,NA,NA,30,0.490346815510614,0.661428571428571
2013-12-31,"nat",2013-12-22,2003-08-31,538,519,65474,271,177,182,124,NA,NA,36,0.7359136418127,0.79268106423924
2013-12-31,"nat",2013-12-22,2003-09-07,537,475,74328,267,145,184,122,NA,NA,24,0.581771152720334,0.639059304703476
2013-12-31,"nat",2013-12-22,2003-09-14,536,461,72401,264,136,183,116,NA,NA,26,0.654161864736963,0.636731536857226
2013-12-31,"nat",2013-12-22,2003-09-21,535,533,71273,268,135,221,143,NA,NA,34,0.749504068538055,0.747828771063376
2013-12-31,"nat",2013-12-22,2003-09-28,534,2442,254144,830,808,881,607,NA,NA,146,0.884021204429485,0.960872576177285
2013-12-31,"nat",2013-12-22,2003-10-05,533,2932,281045,931,913,1132,696,NA,NA,191,1.02773045591915,1.04324930171325
2013-12-31,"nat",2013-12-22,2003-10-12,532,3031,287436,974,878,1147,811,NA,NA,195,1.28296363238177,1.05449560945741
2013-12-31,"nat",2013-12-22,2003-10-19,531,3475,312412,1007,1006,1369,884,NA,NA,216,1.3266053697292,1.11231322740484
2013-12-31,"nat",2013-12-22,2003-10-26,530,4690,331980,1074,1207,2080,1127,NA,NA,276,1.77304009793384,1.4127357069703
2013-12-31,"nat",2013-12-22,2003-11-02,529,5790,335258,1111,1542,2735,1249,NA,NA,264,2.43813612052152,1.7270281395224
2013-12-31,"nat",2013-12-22,2003-11-09,528,8385,348359,1141,2185,4133,1757,NA,NA,310,2.72604531913952,2.40699967562199
2013-12-31,"nat",2013-12-22,2003-11-16,527,11141,358275,1129,2561,5684,2425,NA,NA,471,3.7319220656804,3.10962249668551
2013-12-31,"nat",2013-12-22,2003-11-23,526,11742,272576,1118,3247,4933,2890,NA,NA,672,4.54893751799399,4.30778938718009
2013-12-31,"nat",2013-12-22,2003-11-30,525,18948,392274,1189,4734,7817,5330,NA,NA,1067,5.39906425638487,4.83029719022928
2013-12-31,"nat",2013-12-22,2003-12-07,524,24962,388269,1173,6620,11550,5573,NA,NA,1219,7.38735357389034,6.42904790235636
2013-12-31,"nat",2013-12-22,2003-12-14,523,23699,345097,1148,6434,9851,5906,NA,NA,1508,7.48097137314648,6.867344543708
2013-12-31,"nat",2013-12-22,2003-12-21,522,16415,232344,1122,5336,5231,4517,NA,NA,1331,7.62796725730726,7.0649554109424
2013-12-31,"nat",2013-12-22,2003-12-28,521,11332,248992,1139,3391,2894,3827,NA,NA,1220,5.14051498879727,4.55115023775864
2013-12-31,"nat",2013-12-22,2004-01-04,520,7602,314349,1160,1930,2299,2605,NA,NA,768,2.89129419229667,2.41833121785022
2013-12-31,"nat",2013-12-22,2004-01-11,519,5583,308614,1141,1679,1857,1586,NA,NA,461,2.10428983637694,1.80905597283338
2013-12-31,"nat",2013-12-22,2004-01-18,518,4961,289774,1084,1721,1604,1276,NA,NA,360,1.8869563898866,1.7120238530717
2013-12-31,"nat",2013-12-22,2004-01-25,517,4436,287586,1071,1487,1543,1067,NA,NA,339,1.77659664241317,1.54249511450488
2013-12-31,"nat",2013-12-22,2004-02-01,516,4251,295646,1054,1454,1448,1047,NA,NA,302,1.46000622974468,1.43786826136663
2013-12-31,"nat",2013-12-22,2004-02-08,515,3824,288762,986,1420,1297,889,NA,NA,218,1.37786947617157,1.32427396956663
2013-12-31,"nat",2013-12-22,2004-02-15,514,3691,282347,1004,1301,1255,876,NA,NA,259,1.30532339707921,1.30725667352584
2013-12-31,"nat",2013-12-22,2004-02-22,513,2916,281202,948,956,1038,719,NA,NA,203,1.08691103879546,1.03697697740414
2013-12-31,"nat",2013-12-22,2004-02-29,512,2744,271597,894,925,910,682,NA,NA,227,0.991887735220218,1.01032043800189
2013-12-31,"nat",2013-12-22,2004-03-07,511,2708,257294,897,878,888,764,NA,NA,178,1.02765319840718,1.05249247942043
2013-12-31,"nat",2013-12-22,2004-03-14,510,2487,243802,849,730,826,756,NA,NA,175,1.05789602071851,1.0200900730921
2013-12-31,"nat",2013-12-22,2004-03-21,509,2300,248805,859,760,733,628,NA,NA,179,0.849361020491385,0.924418721488716
2013-12-31,"nat",2013-12-22,2004-03-28,508,1858,234998,828,610,611,495,NA,NA,142,0.747126665292176,0.790645026766185
2013-12-31,"nat",2013-12-22,2004-04-04,507,1705,212432,774,583,566,440,NA,NA,116,0.661707853318756,0.802609776304888
2013-12-31,"nat",2013-12-22,2004-04-11,506,1749,209178,755,545,573,500,NA,NA,131,0.679513857897956,0.836129994550096
2013-12-31,"nat",2013-12-22,2004-04-18,505,1615,203802,679,501,511,461,NA,NA,142,0.633070762506447,0.792435795527031
2013-12-31,"nat",2013-12-22,2004-04-25,504,1331,194708,658,470,404,349,NA,NA,108,0.569893715038825,0.683587731372106
2013-12-31,"nat",2013-12-22,2004-05-02,503,1394,184038,629,435,491,383,NA,NA,85,0.591356768666246,0.757452265293037
2013-12-31,"nat",2013-12-22,2004-05-09,502,1327,168276,599,449,443,361,NA,NA,74,0.589043559956717,0.788585419192279
2013-12-31,"nat",2013-12-22,2004-05-16,501,1262,155386,553,451,380,337,NA,NA,94,0.678640493481165,0.812170980654628
2013-12-31,"nat",2013-12-22,2004-05-23,500,1070,133008,463,375,349,280,NA,NA,66,0.637558475854445,0.804462889450259
2013-12-31,"nat",2013-12-22,2004-05-30,499,1061,120884,452,391,308,289,NA,NA,73,0.813309180414927,0.877700936434929
2013-12-31,"nat",2013-12-22,2004-06-06,498,987,133117,443,355,309,257,NA,NA,66,0.834551050052394,0.741453007504676
2013-12-31,"nat",2013-12-22,2004-06-13,497,851,128740,426,307,240,258,NA,NA,46,0.616174060980419,0.661022215317695
2013-12-31,"nat",2013-12-22,2004-06-20,496,887,124037,423,277,284,245,NA,NA,81,0.513285742502196,0.715109201286713
2013-12-31,"nat",2013-12-22,2004-06-27,495,698,124146,408,238,183,215,NA,NA,62,0.351881074467375,0.562241232097691
2013-12-31,"nat",2013-12-22,2004-07-04,494,710,90238,381,233,205,210,NA,NA,62,0.542621107164969,0.786808218267249
2013-12-31,"nat",2013-12-22,2004-07-11,493,836,97135,378,249,280,227,NA,NA,80,0.581036192538807,0.860657847325887
2013-12-31,"nat",2013-12-22,2004-07-18,492,659,95515,370,259,200,162,NA,NA,38,0.495486300239858,0.689943987855311
2013-12-31,"nat",2013-12-22,2004-07-25,491,719,92216,363,260,230,189,NA,NA,40,0.612090360269777,0.779691159885486
2013-12-31,"nat",2013-12-22,2004-08-01,490,733,116693,345,213,235,225,NA,NA,60,0.531490547922895,0.6281439332265
2013-12-31,"nat",2013-12-22,2004-08-08,489,809,89644,334,243,256,247,NA,NA,63,0.51998671084002,0.902458614073446
2013-12-31,"nat",2013-12-22,2004-08-15,488,770,95481,335,256,256,200,NA,NA,58,0.574475754137559,0.806443166703323
2013-12-31,"nat",2013-12-22,2004-08-22,487,799,91326,333,259,265,231,NA,NA,44,0.663175351255024,0.874887764711035
2013-12-31,"nat",2013-12-22,2004-08-29,486,960,96656,326,279,358,252,NA,NA,71,0.614691037252002,0.993213044197981
2013-12-31,"nat",2013-12-22,2004-09-05,485,913,104207,337,281,309,263,NA,NA,60,0.656822919932555,0.876140758298387
