"location","target_end_date","target","output_type","output_type_id","oracle_value"
"HHS Region 1",2015-10-03,"ili perc","quantile",NA,0.395111
"HHS Region 1",2015-10-10,"ili perc","quantile",NA,0.745698
"HHS Region 1",2015-10-17,"ili perc","quantile",NA,0.613241
"HHS Region 1",2015-10-24,"ili perc","quantile",NA,0.721747
"HHS Region 1",2015-10-31,"ili perc","quantile",NA,0.767136
"HHS Region 1",2015-11-07,"ili perc","quantile",NA,0.923337
"HHS Region 1",2015-11-14,"ili perc","quantile",NA,0.767975
"HHS Region 1",2015-11-21,"ili perc","quantile",NA,0.736201
"HHS Region 1",2015-11-28,"ili perc","quantile",NA,0.954736
"HHS Region 1",2015-12-05,"ili perc","quantile",NA,0.807851
"HHS Region 1",2015-12-12,"ili perc","quantile",NA,0.975831
"HHS Region 1",2015-12-19,"ili perc","quantile",NA,1.03668
"HHS Region 1",2015-12-26,"ili perc","quantile",NA,1.38302
"HHS Region 1",2016-01-02,"ili perc","quantile",NA,1.59869
"HHS Region 1",2016-01-09,"ili perc","quantile",NA,1.32779
"HHS Region 1",2016-01-16,"ili perc","quantile",NA,1.40757
"HHS Region 1",2016-01-23,"ili perc","quantile",NA,1.51447
"HHS Region 1",2016-01-30,"ili perc","quantile",NA,1.70551
"HHS Region 1",2016-02-06,"ili perc","quantile",NA,1.80717
"HHS Region 1",2016-02-13,"ili perc","quantile",NA,1.9911
"HHS Region 1",2016-02-20,"ili perc","quantile",NA,1.98808
"HHS Region 1",2016-02-27,"ili perc","quantile",NA,1.97011
"HHS Region 1",2016-03-05,"ili perc","quantile",NA,2.00001
"HHS Region 1",2016-03-12,"ili perc","quantile",NA,2.54487
"HHS Region 1",2016-03-19,"ili perc","quantile",NA,2.20908
"HHS Region 1",2016-03-26,"ili perc","quantile",NA,2.01418
"HHS Region 1",2016-04-02,"ili perc","quantile",NA,2.04424
"HHS Region 1",2016-04-09,"ili perc","quantile",NA,1.71666
"HHS Region 1",2016-04-16,"ili perc","quantile",NA,1.57625
"HHS Region 1",2016-04-23,"ili perc","quantile",NA,1.62708
"HHS Region 1",2016-04-30,"ili perc","quantile",NA,1.13468
"HHS Region 1",2016-05-07,"ili perc","quantile",NA,1.07138
"HHS Region 1",2016-05-14,"ili perc","quantile",NA,0.900492
"HHS Region 1",2016-05-21,"ili perc","quantile",NA,0.897723
"HHS Region 1",2016-05-28,"ili perc","quantile",NA,0.844999
"HHS Region 1",2016-06-04,"ili perc","quantile",NA,0.717112
"HHS Region 1",2016-06-11,"ili perc","quantile",NA,0.767391
"HHS Region 1",2016-06-18,"ili perc","quantile",NA,0.516807
"HHS Region 1",2016-06-25,"ili perc","quantile",NA,0.438666
"HHS Region 1",2016-10-01,"ili perc","quantile",NA,0.572983
"HHS Region 1",2016-10-08,"ili perc","quantile",NA,0.747602
