"location","target_end_date","target","observation","as_of"
"US National",2015-08-01,"ili perc",0.765486,2015-10-17
"US National",2015-08-08,"ili perc",0.787972,2015-10-17
"US National",2015-08-15,"ili perc",0.813213,2015-10-17
"US National",2015-08-22,"ili perc",0.850809,2015-10-17
"US National",2015-08-29,"ili perc",0.849639,2015-10-17
"US National",2015-09-05,"ili perc",0.916648,2015-10-17
"US National",2015-09-12,"ili perc",0.957489,2015-10-17
"US National",2015-09-19,"ili perc",1.09342,2015-10-17
"US National",2015-09-26,"ili perc",1.16385,2015-10-17
"US National",2015-10-03,"ili perc",1.16328,2015-10-17
"US National",2015-10-10,"ili perc",1.271,2015-10-17
"US National",2015-10-17,"ili perc",1.40233,2015-10-17
"HHS Region 1",2015-08-01,"ili perc",0.356937,2015-10-17
"HHS Region 1",2015-08-08,"ili perc",0.36071,2015-10-17
"HHS Region 1",2015-08-15,"ili perc",0.384903,2015-10-17
"HHS Region 1",2015-08-22,"ili perc",0.362232,2015-10-17
"HHS Region 1",2015-08-29,"ili perc",0.401994,2015-10-17
"HHS Region 1",2015-09-05,"ili perc",0.381446,2015-10-17
"HHS Region 1",2015-09-12,"ili perc",0.456894,2015-10-17
"HHS Region 1",2015-09-19,"ili perc",0.463827,2015-10-17
"HHS Region 1",2015-09-26,"ili perc",0.402616,2015-10-17
"HHS Region 1",2015-10-03,"ili perc",0.410348,2015-10-17
"HHS Region 1",2015-10-10,"ili perc",0.700682,2015-10-17
"HHS Region 1",2015-10-17,"ili perc",0.508896,2015-10-17
"HHS Region 2",2015-08-01,"ili perc",1.36223,2015-10-17
"HHS Region 2",2015-08-08,"ili perc",1.57157,2015-10-17
"HHS Region 2",2015-08-15,"ili perc",1.38907,2015-10-17
"HHS Region 2",2015-08-22,"ili perc",1.11843,2015-10-17
"HHS Region 2",2015-08-29,"ili perc",1.12344,2015-10-17
"HHS Region 2",2015-09-05,"ili perc",1.302,2015-10-17
"HHS Region 2",2015-09-12,"ili perc",1.23383,2015-10-17
"HHS Region 2",2015-09-19,"ili perc",1.55989,2015-10-17
"HHS Region 2",2015-09-26,"ili perc",1.77316,2015-10-17
"HHS Region 2",2015-10-03,"ili perc",1.38681,2015-10-17
"HHS Region 2",2015-10-10,"ili perc",1.04144,2015-10-17
"HHS Region 2",2015-10-17,"ili perc",1.32009,2015-10-17
"HHS Region 3",2015-08-01,"ili perc",0.959529,2015-10-17
"HHS Region 3",2015-08-08,"ili perc",0.890565,2015-10-17
"HHS Region 3",2015-08-15,"ili perc",1.00206,2015-10-17
"HHS Region 3",2015-08-22,"ili perc",0.952584,2015-10-17
"HHS Region 3",2015-08-29,"ili perc",0.81983,2015-10-17
"HHS Region 3",2015-09-05,"ili perc",1.08942,2015-10-17
"HHS Region 3",2015-09-12,"ili perc",1.14302,2015-10-17
"HHS Region 3",2015-09-19,"ili perc",1.19949,2015-10-17
"HHS Region 3",2015-09-26,"ili perc",1.24496,2015-10-17
"HHS Region 3",2015-10-03,"ili perc",1.12412,2015-10-17
"HHS Region 3",2015-10-10,"ili perc",1.31361,2015-10-17
"HHS Region 3",2015-10-17,"ili perc",1.38011,2015-10-17
"HHS Region 4",2015-08-01,"ili perc",0.45963,2015-10-17
"HHS Region 4",2015-08-08,"ili perc",0.461848,2015-10-17
"HHS Region 4",2015-08-15,"ili perc",0.722879,2015-10-17
"HHS Region 4",2015-08-22,"ili perc",0.745637,2015-10-17
"HHS Region 4",2015-08-29,"ili perc",0.829242,2015-10-17
"HHS Region 4",2015-09-05,"ili perc",0.749637,2015-10-17
"HHS Region 4",2015-09-12,"ili perc",0.718556,2015-10-17
"HHS Region 4",2015-09-19,"ili perc",0.84795,2015-10-17
"HHS Region 4",2015-09-26,"ili perc",0.780622,2015-10-17
"HHS Region 4",2015-10-03,"ili perc",0.910915,2015-10-17
"HHS Region 4",2015-10-10,"ili perc",1.26921,2015-10-17
"HHS Region 4",2015-10-17,"ili perc",1.32234,2015-10-17
"HHS Region 5",2015-08-01,"ili perc",0.581547,2015-10-17
"HHS Region 5",2015-08-08,"ili perc",0.585049,2015-10-17
"HHS Region 5",2015-08-15,"ili perc",0.597183,2015-10-17
"HHS Region 5",2015-08-22,"ili perc",0.581645,2015-10-17
"HHS Region 5",2015-08-29,"ili perc",0.660097,2015-10-17
"HHS Region 5",2015-09-05,"ili perc",0.611899,2015-10-17
"HHS Region 5",2015-09-12,"ili perc",0.654567,2015-10-17
"HHS Region 5",2015-09-19,"ili perc",0.727115,2015-10-17
"HHS Region 5",2015-09-26,"ili perc",0.821608,2015-10-17
"HHS Region 5",2015-10-03,"ili perc",0.814123,2015-10-17
"HHS Region 5",2015-10-10,"ili perc",0.798392,2015-10-17
"HHS Region 5",2015-10-17,"ili perc",0.827985,2015-10-17
"HHS Region 6",2015-08-01,"ili perc",1.31115,2015-10-17
"HHS Region 6",2015-08-08,"ili perc",1.23758,2015-10-17
"HHS Region 6",2015-08-15,"ili perc",1.22844,2015-10-17
"HHS Region 6",2015-08-22,"ili perc",1.54875,2015-10-17
"HHS Region 6",2015-08-29,"ili perc",1.3046,2015-10-17
"HHS Region 6",2015-09-05,"ili perc",1.68028,2015-10-17
"HHS Region 6",2015-09-12,"ili perc",2.20774,2015-10-17
"HHS Region 6",2015-09-19,"ili perc",2.14646,2015-10-17
"HHS Region 6",2015-09-26,"ili perc",2.32181,2015-10-17
