"location","origin_date","horizon","target_end_date","quantile","value","output_type_id","target","output_type","season"
"US National",2018-02-24,4,2018-03-24,"1%",2.33906383937376,0.01,"ili perc","quantile","2017/2018"
"US National",2018-02-24,4,2018-03-24,"2.5%",2.94951853046058,0.025,"ili perc","quantile","2017/2018"
"US National",2018-02-24,4,2018-03-24,"5%",3.16596407053971,0.05,"ili perc","quantile","2017/2018"
"US National",2018-02-24,4,2018-03-24,"10%",3.26730455508776,0.1,"ili perc","quantile","2017/2018"
"US National",2018-02-24,4,2018-03-24,"15%",3.46618346524759,0.15,"ili perc","quantile","2017/2018"
"US National",2018-02-24,4,2018-03-24,"20%",3.6422020328241,0.2,"ili perc","quantile","2017/2018"
"US National",2018-02-24,4,2018-03-24,"25%",3.83476985031721,0.25,"ili perc","quantile","2017/2018"
"US National",2018-02-24,4,2018-03-24,"30%",3.92551130706119,0.3,"ili perc","quantile","2017/2018"
"US National",2018-02-24,4,2018-03-24,"35%",4.17158386404538,0.35,"ili perc","quantile","2017/2018"
"US National",2018-02-24,4,2018-03-24,"40%",4.3752754249613,0.4,"ili perc","quantile","2017/2018"
"US National",2018-02-24,4,2018-03-24,"45%",4.49559531327974,0.45,"ili perc","quantile","2017/2018"
"US National",2018-02-24,4,2018-03-24,"50%",4.58386490233134,0.5,"ili perc","quantile","2017/2018"
"US National",2018-02-24,4,2018-03-24,"55%",4.6836333811147,0.55,"ili perc","quantile","2017/2018"
"US National",2018-02-24,4,2018-03-24,"60%",4.74263477374625,0.6,"ili perc","quantile","2017/2018"
"US National",2018-02-24,4,2018-03-24,"65%",4.98192569960707,0.65,"ili perc","quantile","2017/2018"
"US National",2018-02-24,4,2018-03-24,"70%",5.05300977025215,0.7,"ili perc","quantile","2017/2018"
"US National",2018-02-24,4,2018-03-24,"75%",5.28050828310153,0.75,"ili perc","quantile","2017/2018"
"US National",2018-02-24,4,2018-03-24,"80%",5.43419246744248,0.8,"ili perc","quantile","2017/2018"
"US National",2018-02-24,4,2018-03-24,"85%",5.82126884893473,0.85,"ili perc","quantile","2017/2018"
"US National",2018-02-24,4,2018-03-24,"90%",6.2442912557065,0.9,"ili perc","quantile","2017/2018"
"US National",2018-02-24,4,2018-03-24,"95%",6.38980769758258,0.95,"ili perc","quantile","2017/2018"
"US National",2018-02-24,4,2018-03-24,"97.5%",7.06825692137268,0.975,"ili perc","quantile","2017/2018"
"US National",2018-02-24,4,2018-03-24,"99%",7.65415414270667,0.99,"ili perc","quantile","2017/2018"
