"location","origin_date","value","output_type_id","target","output_type"
"US National",2019-10-19,0.932217570354854,0.01,"ili perc","quantile"
"US National",2019-10-19,1.09380696561437,0.025,"ili perc","quantile"
"US National",2019-10-19,1.21535092040065,0.05,"ili perc","quantile"
"US National",2019-10-19,1.34606204702968,0.1,"ili perc","quantile"
"US National",2019-10-19,1.42991596410184,0.15,"ili perc","quantile"
"US National",2019-10-19,1.49480296150198,0.2,"ili perc","quantile"
"US National",2019-10-19,1.56837646829338,0.25,"ili perc","quantile"
"US National",2019-10-19,1.60999565240201,0.3,"ili perc","quantile"
"US National",2019-10-19,1.64102678209201,0.35,"ili perc","quantile"
"US National",2019-10-19,1.68211950170351,0.4,"ili perc","quantile"
"US National",2019-10-19,1.72922671708073,0.45,"ili perc","quantile"
"US National",2019-10-19,1.76648479249483,0.5,"ili perc","quantile"
"US National",2019-10-19,1.79757695975285,0.55,"ili perc","quantile"
"US National",2019-10-19,1.82580245829229,0.6,"ili perc","quantile"
"US National",2019-10-19,1.87371008731234,0.65,"ili perc","quantile"
"US National",2019-10-19,1.92533201909049,0.7,"ili perc","quantile"
"US National",2019-10-19,1.97675625067978,0.75,"ili perc","quantile"
"US National",2019-10-19,2.04381010490981,0.8,"ili perc","quantile"
"US National",2019-10-19,2.11256274283783,0.85,"ili perc","quantile"
"US National",2019-10-19,2.21008188811676,0.9,"ili perc","quantile"
"US National",2019-10-19,2.40135492813358,0.95,"ili perc","quantile"
"US National",2019-10-19,2.55535001945431,0.975,"ili perc","quantile"
"US National",2019-10-19,2.91085312210471,0.99,"ili perc","quantile"
