"location","origin_date","value","output_type_id","target","output_type"
"US National",2020-04-25,0.691777717355698,0.01,"ili perc","quantile"
"US National",2020-04-25,0.854329047297095,0.025,"ili perc","quantile"
"US National",2020-04-25,1.06309746346986,0.05,"ili perc","quantile"
"US National",2020-04-25,1.19170989758089,0.1,"ili perc","quantile"
"US National",2020-04-25,1.29343345282756,0.15,"ili perc","quantile"
"US National",2020-04-25,1.35184429871748,0.2,"ili perc","quantile"
"US National",2020-04-25,1.40749417682143,0.25,"ili perc","quantile"
"US National",2020-04-25,1.4688835229795,0.3,"ili perc","quantile"
"US National",2020-04-25,1.53341766051293,0.35,"ili perc","quantile"
"US National",2020-04-25,1.5626685535283,0.4,"ili perc","quantile"
"US National",2020-04-25,1.58189563455326,0.45,"ili perc","quantile"
"US National",2020-04-25,1.61334645288595,0.5,"ili perc","quantile"
"US National",2020-04-25,1.65308515295024,0.55,"ili perc","quantile"
"US National",2020-04-25,1.70172059867192,0.6,"ili perc","quantile"
"US National",2020-04-25,1.74314022049477,0.65,"ili perc","quantile"
"US National",2020-04-25,1.80764202706418,0.7,"ili perc","quantile"
"US National",2020-04-25,1.87629895441619,0.75,"ili perc","quantile"
"US National",2020-04-25,1.96396197864236,0.8,"ili perc","quantile"
"US National",2020-04-25,2.04454048224651,0.85,"ili perc","quantile"
"US National",2020-04-25,2.17709426936569,0.9,"ili perc","quantile"
"US National",2020-04-25,2.36361564666988,0.95,"ili perc","quantile"
"US National",2020-04-25,2.69961148774521,0.975,"ili perc","quantile"
"US National",2020-04-25,3.25545085627975,0.99,"ili perc","quantile"
