"location","origin_date","horizon","target_end_date","quantile","value","output_type_id","target","output_type","season"
"US National",2020-03-14,4,2020-04-11,"1%",3.58236539848458,0.01,"ili perc","quantile","2019/2020"
"US National",2020-03-14,4,2020-04-11,"2.5%",3.67375668999083,0.025,"ili perc","quantile","2019/2020"
"US National",2020-03-14,4,2020-04-11,"5%",4.10476887266597,0.05,"ili perc","quantile","2019/2020"
"US National",2020-03-14,4,2020-04-11,"10%",4.50366983499083,0.1,"ili perc","quantile","2019/2020"
"US National",2020-03-14,4,2020-04-11,"15%",4.60213103642629,0.15,"ili perc","quantile","2019/2020"
"US National",2020-03-14,4,2020-04-11,"20%",4.72593586089421,0.2,"ili perc","quantile","2019/2020"
"US National",2020-03-14,4,2020-04-11,"25%",4.83746118677904,0.25,"ili perc","quantile","2019/2020"
"US National",2020-03-14,4,2020-04-11,"30%",5.03839203276577,0.3,"ili perc","quantile","2019/2020"
"US National",2020-03-14,4,2020-04-11,"35%",5.22099479516291,0.35,"ili perc","quantile","2019/2020"
"US National",2020-03-14,4,2020-04-11,"40%",5.34285578515468,0.4,"ili perc","quantile","2019/2020"
"US National",2020-03-14,4,2020-04-11,"45%",5.57640517425186,0.45,"ili perc","quantile","2019/2020"
"US National",2020-03-14,4,2020-04-11,"50%",5.68749279210751,0.5,"ili perc","quantile","2019/2020"
"US National",2020-03-14,4,2020-04-11,"55%",5.83832068894664,0.55,"ili perc","quantile","2019/2020"
"US National",2020-03-14,4,2020-04-11,"60%",5.98007568646366,0.6,"ili perc","quantile","2019/2020"
"US National",2020-03-14,4,2020-04-11,"65%",6.1206105845251,0.65,"ili perc","quantile","2019/2020"
"US National",2020-03-14,4,2020-04-11,"70%",6.23679629004962,0.7,"ili perc","quantile","2019/2020"
"US National",2020-03-14,4,2020-04-11,"75%",6.30957429080749,0.75,"ili perc","quantile","2019/2020"
"US National",2020-03-14,4,2020-04-11,"80%",6.56732584675925,0.8,"ili perc","quantile","2019/2020"
"US National",2020-03-14,4,2020-04-11,"85%",6.91437927084078,0.85,"ili perc","quantile","2019/2020"
"US National",2020-03-14,4,2020-04-11,"90%",7.1062308966726,0.9,"ili perc","quantile","2019/2020"
"US National",2020-03-14,4,2020-04-11,"95%",7.50777205940308,0.95,"ili perc","quantile","2019/2020"
"US National",2020-03-14,4,2020-04-11,"97.5%",9.08842040517311,0.975,"ili perc","quantile","2019/2020"
"US National",2020-03-14,4,2020-04-11,"99%",9.83200802880055,0.99,"ili perc","quantile","2019/2020"
