"location","origin_date","horizon","target_end_date","quantile","value","output_type_id","target","output_type","season"
"US National",2016-03-05,4,2016-04-02,"1%",1.45811649267267,0.01,"ili perc","quantile","2015/2016"
"US National",2016-03-05,4,2016-04-02,"2.5%",1.66290487290548,0.025,"ili perc","quantile","2015/2016"
"US National",2016-03-05,4,2016-04-02,"5%",2.09649741759928,0.05,"ili perc","quantile","2015/2016"
"US National",2016-03-05,4,2016-04-02,"10%",2.42015978822216,0.1,"ili perc","quantile","2015/2016"
"US National",2016-03-05,4,2016-04-02,"15%",2.56750224401325,0.15,"ili perc","quantile","2015/2016"
"US National",2016-03-05,4,2016-04-02,"20%",2.72147594638145,0.2,"ili perc","quantile","2015/2016"
"US National",2016-03-05,4,2016-04-02,"25%",2.9427374219434,0.25,"ili perc","quantile","2015/2016"
"US National",2016-03-05,4,2016-04-02,"30%",3.05753828800305,0.3,"ili perc","quantile","2015/2016"
"US National",2016-03-05,4,2016-04-02,"35%",3.09774509603306,0.35,"ili perc","quantile","2015/2016"
"US National",2016-03-05,4,2016-04-02,"40%",3.22632505032116,0.4,"ili perc","quantile","2015/2016"
"US National",2016-03-05,4,2016-04-02,"45%",3.40263988733239,0.45,"ili perc","quantile","2015/2016"
"US National",2016-03-05,4,2016-04-02,"50%",3.44344236430954,0.5,"ili perc","quantile","2015/2016"
"US National",2016-03-05,4,2016-04-02,"55%",3.67651979555349,0.55,"ili perc","quantile","2015/2016"
"US National",2016-03-05,4,2016-04-02,"60%",3.83597135875275,0.6,"ili perc","quantile","2015/2016"
"US National",2016-03-05,4,2016-04-02,"65%",3.94166139425417,0.65,"ili perc","quantile","2015/2016"
"US National",2016-03-05,4,2016-04-02,"70%",3.99792953800151,0.7,"ili perc","quantile","2015/2016"
"US National",2016-03-05,4,2016-04-02,"75%",4.11613765934571,0.75,"ili perc","quantile","2015/2016"
"US National",2016-03-05,4,2016-04-02,"80%",4.30351091112781,0.8,"ili perc","quantile","2015/2016"
"US National",2016-03-05,4,2016-04-02,"85%",4.41848109568764,0.85,"ili perc","quantile","2015/2016"
"US National",2016-03-05,4,2016-04-02,"90%",4.70559578558019,0.9,"ili perc","quantile","2015/2016"
"US National",2016-03-05,4,2016-04-02,"95%",5.58245563188182,0.95,"ili perc","quantile","2015/2016"
"US National",2016-03-05,4,2016-04-02,"97.5%",5.83874402555225,0.975,"ili perc","quantile","2015/2016"
"US National",2016-03-05,4,2016-04-02,"99%",6.82464980793468,0.99,"ili perc","quantile","2015/2016"
