"location","origin_date","horizon","target_end_date","quantile","value","output_type_id","target","output_type","season"
"US National",2020-04-11,4,2020-05-09,"1%",1.34086041346308,0.01,"ili perc","quantile","2019/2020"
"US National",2020-04-11,4,2020-05-09,"2.5%",1.50709876803721,0.025,"ili perc","quantile","2019/2020"
"US National",2020-04-11,4,2020-05-09,"5%",1.56924897417006,0.05,"ili perc","quantile","2019/2020"
"US National",2020-04-11,4,2020-05-09,"10%",1.71371836974555,0.1,"ili perc","quantile","2019/2020"
"US National",2020-04-11,4,2020-05-09,"15%",1.82621285883435,0.15,"ili perc","quantile","2019/2020"
"US National",2020-04-11,4,2020-05-09,"20%",2.0664245204797,0.2,"ili perc","quantile","2019/2020"
"US National",2020-04-11,4,2020-05-09,"25%",2.19261283383015,0.25,"ili perc","quantile","2019/2020"
"US National",2020-04-11,4,2020-05-09,"30%",2.28917977219683,0.3,"ili perc","quantile","2019/2020"
"US National",2020-04-11,4,2020-05-09,"35%",2.35515913317827,0.35,"ili perc","quantile","2019/2020"
"US National",2020-04-11,4,2020-05-09,"40%",2.45759574855223,0.4,"ili perc","quantile","2019/2020"
"US National",2020-04-11,4,2020-05-09,"45%",2.56764923447789,0.45,"ili perc","quantile","2019/2020"
"US National",2020-04-11,4,2020-05-09,"50%",2.61897758628548,0.5,"ili perc","quantile","2019/2020"
"US National",2020-04-11,4,2020-05-09,"55%",2.70444242899108,0.55,"ili perc","quantile","2019/2020"
"US National",2020-04-11,4,2020-05-09,"60%",2.77226086505831,0.6,"ili perc","quantile","2019/2020"
"US National",2020-04-11,4,2020-05-09,"65%",2.84299398539079,0.65,"ili perc","quantile","2019/2020"
"US National",2020-04-11,4,2020-05-09,"70%",2.90108556111016,0.7,"ili perc","quantile","2019/2020"
"US National",2020-04-11,4,2020-05-09,"75%",3.14149055950366,0.75,"ili perc","quantile","2019/2020"
"US National",2020-04-11,4,2020-05-09,"80%",3.29085979997251,0.8,"ili perc","quantile","2019/2020"
"US National",2020-04-11,4,2020-05-09,"85%",3.48598479218927,0.85,"ili perc","quantile","2019/2020"
"US National",2020-04-11,4,2020-05-09,"90%",3.65086897416887,0.9,"ili perc","quantile","2019/2020"
"US National",2020-04-11,4,2020-05-09,"95%",4.12952036148333,0.95,"ili perc","quantile","2019/2020"
"US National",2020-04-11,4,2020-05-09,"97.5%",4.39460939858172,0.975,"ili perc","quantile","2019/2020"
"US National",2020-04-11,4,2020-05-09,"99%",4.92382141111492,0.99,"ili perc","quantile","2019/2020"
