"location","origin_date","value","output_type_id","target","output_type"
"US National",2020-02-15,3.13244632440622,0.01,"ili perc","quantile"
"US National",2020-02-15,4.03363571903832,0.025,"ili perc","quantile"
"US National",2020-02-15,4.38946600903301,0.05,"ili perc","quantile"
"US National",2020-02-15,4.68989678216913,0.1,"ili perc","quantile"
"US National",2020-02-15,4.89524790135709,0.15,"ili perc","quantile"
"US National",2020-02-15,5.11532809788118,0.2,"ili perc","quantile"
"US National",2020-02-15,5.26678913556015,0.25,"ili perc","quantile"
"US National",2020-02-15,5.40685756229596,0.3,"ili perc","quantile"
"US National",2020-02-15,5.53004117213813,0.35,"ili perc","quantile"
"US National",2020-02-15,5.65370149906171,0.4,"ili perc","quantile"
"US National",2020-02-15,5.74925488033643,0.45,"ili perc","quantile"
"US National",2020-02-15,5.83305898769596,0.5,"ili perc","quantile"
"US National",2020-02-15,5.92589036821811,0.55,"ili perc","quantile"
"US National",2020-02-15,6.00656508718016,0.6,"ili perc","quantile"
"US National",2020-02-15,6.10457662605875,0.65,"ili perc","quantile"
"US National",2020-02-15,6.29721632870518,0.7,"ili perc","quantile"
"US National",2020-02-15,6.47633727331496,0.75,"ili perc","quantile"
"US National",2020-02-15,6.63074686324104,0.8,"ili perc","quantile"
"US National",2020-02-15,6.84086154119147,0.85,"ili perc","quantile"
"US National",2020-02-15,7.02482823218733,0.9,"ili perc","quantile"
"US National",2020-02-15,7.46892750188171,0.95,"ili perc","quantile"
"US National",2020-02-15,8.271303428435,0.975,"ili perc","quantile"
"US National",2020-02-15,8.81213132752041,0.99,"ili perc","quantile"
