"location","origin_date","value","output_type_id","target","output_type"
"US National",2019-04-20,0.976025325047271,0.01,"ili perc","quantile"
"US National",2019-04-20,1.08543318972907,0.025,"ili perc","quantile"
"US National",2019-04-20,1.29832824428801,0.05,"ili perc","quantile"
"US National",2019-04-20,1.51765051838188,0.1,"ili perc","quantile"
"US National",2019-04-20,1.60664201383948,0.15,"ili perc","quantile"
"US National",2019-04-20,1.65408746776848,0.2,"ili perc","quantile"
"US National",2019-04-20,1.71887076095361,0.25,"ili perc","quantile"
"US National",2019-04-20,1.78158621024049,0.3,"ili perc","quantile"
"US National",2019-04-20,1.81876751872226,0.35,"ili perc","quantile"
"US National",2019-04-20,1.86147581945228,0.4,"ili perc","quantile"
"US National",2019-04-20,1.91489805925542,0.45,"ili perc","quantile"
"US National",2019-04-20,1.95976215769619,0.5,"ili perc","quantile"
"US National",2019-04-20,2.00926519775085,0.55,"ili perc","quantile"
"US National",2019-04-20,2.06040371558927,0.6,"ili perc","quantile"
"US National",2019-04-20,2.12829617636447,0.65,"ili perc","quantile"
"US National",2019-04-20,2.17858678434259,0.7,"ili perc","quantile"
"US National",2019-04-20,2.25977316346283,0.75,"ili perc","quantile"
"US National",2019-04-20,2.40684750057051,0.8,"ili perc","quantile"
"US National",2019-04-20,2.51395418573463,0.85,"ili perc","quantile"
"US National",2019-04-20,2.66569193132527,0.9,"ili perc","quantile"
"US National",2019-04-20,2.91000474909184,0.95,"ili perc","quantile"
"US National",2019-04-20,3.37019618065431,0.975,"ili perc","quantile"
"US National",2019-04-20,3.86805538414848,0.99,"ili perc","quantile"
