"location","origin_date","value","output_type_id","target","output_type"
"US National",2018-12-01,0.93570736683764,0.01,"ili perc","quantile"
"US National",2018-12-01,1.21213019672934,0.025,"ili perc","quantile"
"US National",2018-12-01,1.34749567379595,0.05,"ili perc","quantile"
"US National",2018-12-01,1.59003533630061,0.1,"ili perc","quantile"
"US National",2018-12-01,1.69679826542482,0.15,"ili perc","quantile"
"US National",2018-12-01,1.78065793196954,0.2,"ili perc","quantile"
"US National",2018-12-01,1.85887582824895,0.25,"ili perc","quantile"
"US National",2018-12-01,1.90758980813566,0.3,"ili perc","quantile"
"US National",2018-12-01,1.94213265896869,0.35,"ili perc","quantile"
"US National",2018-12-01,1.98749434181938,0.4,"ili perc","quantile"
"US National",2018-12-01,2.01738708760796,0.45,"ili perc","quantile"
"US National",2018-12-01,2.06434782406214,0.5,"ili perc","quantile"
"US National",2018-12-01,2.10353595309722,0.55,"ili perc","quantile"
"US National",2018-12-01,2.15721640517894,0.6,"ili perc","quantile"
"US National",2018-12-01,2.19096271927083,0.65,"ili perc","quantile"
"US National",2018-12-01,2.27218688280533,0.7,"ili perc","quantile"
"US National",2018-12-01,2.34735215993137,0.75,"ili perc","quantile"
"US National",2018-12-01,2.44375372331817,0.8,"ili perc","quantile"
"US National",2018-12-01,2.57738076298422,0.85,"ili perc","quantile"
"US National",2018-12-01,2.67480888426922,0.9,"ili perc","quantile"
"US National",2018-12-01,2.97747585837892,0.95,"ili perc","quantile"
"US National",2018-12-01,3.15612106739607,0.975,"ili perc","quantile"
"US National",2018-12-01,3.69326045507028,0.99,"ili perc","quantile"
