"location","origin_date","value","output_type_id","target","output_type"
"US National",2018-11-10,1.15882230551477,0.01,"ili perc","quantile"
"US National",2018-11-10,1.33288674105182,0.025,"ili perc","quantile"
"US National",2018-11-10,1.40481157376936,0.05,"ili perc","quantile"
"US National",2018-11-10,1.49752295532849,0.1,"ili perc","quantile"
"US National",2018-11-10,1.5763126156237,0.15,"ili perc","quantile"
"US National",2018-11-10,1.64201441051047,0.2,"ili perc","quantile"
"US National",2018-11-10,1.69384574457786,0.25,"ili perc","quantile"
"US National",2018-11-10,1.73163560741247,0.3,"ili perc","quantile"
"US National",2018-11-10,1.78663229821713,0.35,"ili perc","quantile"
"US National",2018-11-10,1.82975030608433,0.4,"ili perc","quantile"
"US National",2018-11-10,1.87558797518813,0.45,"ili perc","quantile"
"US National",2018-11-10,1.92640007041255,0.5,"ili perc","quantile"
"US National",2018-11-10,1.97062004878316,0.55,"ili perc","quantile"
"US National",2018-11-10,2.00110167378893,0.6,"ili perc","quantile"
"US National",2018-11-10,2.04139505675842,0.65,"ili perc","quantile"
"US National",2018-11-10,2.07792562174689,0.7,"ili perc","quantile"
"US National",2018-11-10,2.14548542743652,0.75,"ili perc","quantile"
"US National",2018-11-10,2.23199262591914,0.8,"ili perc","quantile"
"US National",2018-11-10,2.33884137326286,0.85,"ili perc","quantile"
"US National",2018-11-10,2.46263877639263,0.9,"ili perc","quantile"
"US National",2018-11-10,2.82744114324544,0.95,"ili perc","quantile"
"US National",2018-11-10,3.01254083145516,0.975,"ili perc","quantile"
"US National",2018-11-10,3.20941429374857,0.99,"ili perc","quantile"
