"location","origin_date","value","output_type_id","target","output_type"
"US National",2018-03-10,1.87996850303076,0.01,"ili perc","quantile"
"US National",2018-03-10,1.96676093806176,0.025,"ili perc","quantile"
"US National",2018-03-10,2.13360160939889,0.05,"ili perc","quantile"
"US National",2018-03-10,2.3825681811163,0.1,"ili perc","quantile"
"US National",2018-03-10,2.53055113900193,0.15,"ili perc","quantile"
"US National",2018-03-10,2.66468775885236,0.2,"ili perc","quantile"
"US National",2018-03-10,2.80747922506415,0.25,"ili perc","quantile"
"US National",2018-03-10,2.87927414425829,0.3,"ili perc","quantile"
"US National",2018-03-10,2.93827194296278,0.35,"ili perc","quantile"
"US National",2018-03-10,3.00688036329347,0.4,"ili perc","quantile"
"US National",2018-03-10,3.06756149296478,0.45,"ili perc","quantile"
"US National",2018-03-10,3.11817642769261,0.5,"ili perc","quantile"
"US National",2018-03-10,3.18667728829251,0.55,"ili perc","quantile"
"US National",2018-03-10,3.24205909300044,0.6,"ili perc","quantile"
"US National",2018-03-10,3.32726334513246,0.65,"ili perc","quantile"
"US National",2018-03-10,3.44727240369541,0.7,"ili perc","quantile"
"US National",2018-03-10,3.53788888961881,0.75,"ili perc","quantile"
"US National",2018-03-10,3.7238701563417,0.8,"ili perc","quantile"
"US National",2018-03-10,3.90103407316914,0.85,"ili perc","quantile"
"US National",2018-03-10,4.11778801318889,0.9,"ili perc","quantile"
"US National",2018-03-10,4.43202819517892,0.95,"ili perc","quantile"
"US National",2018-03-10,4.6889222434486,0.975,"ili perc","quantile"
"US National",2018-03-10,5.00849437834278,0.99,"ili perc","quantile"
