"location","origin_date","value","output_type_id","target","output_type"
"US National",2019-12-21,3.51864144687343,0.01,"ili perc","quantile"
"US National",2019-12-21,3.78886929016377,0.025,"ili perc","quantile"
"US National",2019-12-21,3.98773035281308,0.05,"ili perc","quantile"
"US National",2019-12-21,4.32424484820405,0.1,"ili perc","quantile"
"US National",2019-12-21,4.49824191051773,0.15,"ili perc","quantile"
"US National",2019-12-21,4.6756103875562,0.2,"ili perc","quantile"
"US National",2019-12-21,4.79519675560902,0.25,"ili perc","quantile"
"US National",2019-12-21,4.93147553273443,0.3,"ili perc","quantile"
"US National",2019-12-21,5.07533711328638,0.35,"ili perc","quantile"
"US National",2019-12-21,5.14758146512749,0.4,"ili perc","quantile"
"US National",2019-12-21,5.24102955315551,0.45,"ili perc","quantile"
"US National",2019-12-21,5.33503964104195,0.5,"ili perc","quantile"
"US National",2019-12-21,5.47114960495191,0.55,"ili perc","quantile"
"US National",2019-12-21,5.56612102000492,0.6,"ili perc","quantile"
"US National",2019-12-21,5.71908854793524,0.65,"ili perc","quantile"
"US National",2019-12-21,5.83861188927763,0.7,"ili perc","quantile"
"US National",2019-12-21,5.93396534562956,0.75,"ili perc","quantile"
"US National",2019-12-21,6.09914379633011,0.8,"ili perc","quantile"
"US National",2019-12-21,6.2801269778727,0.85,"ili perc","quantile"
"US National",2019-12-21,6.60513957049697,0.9,"ili perc","quantile"
"US National",2019-12-21,7.32436616669681,0.95,"ili perc","quantile"
"US National",2019-12-21,8.03062465809637,0.975,"ili perc","quantile"
"US National",2019-12-21,9.1552861034232,0.99,"ili perc","quantile"
