"location","origin_date","horizon","target_end_date","quantile","value","output_type_id","target","output_type","season"
"US National",2016-03-19,4,2016-04-16,"1%",1.29401849413913,0.01,"ili perc","quantile","2015/2016"
"US National",2016-03-19,4,2016-04-16,"2.5%",1.62654068568276,0.025,"ili perc","quantile","2015/2016"
"US National",2016-03-19,4,2016-04-16,"5%",1.76605949971843,0.05,"ili perc","quantile","2015/2016"
"US National",2016-03-19,4,2016-04-16,"10%",1.94055866471378,0.1,"ili perc","quantile","2015/2016"
"US National",2016-03-19,4,2016-04-16,"15%",2.08986530649971,0.15,"ili perc","quantile","2015/2016"
"US National",2016-03-19,4,2016-04-16,"20%",2.26260755123623,0.2,"ili perc","quantile","2015/2016"
"US National",2016-03-19,4,2016-04-16,"25%",2.32602673185613,0.25,"ili perc","quantile","2015/2016"
"US National",2016-03-19,4,2016-04-16,"30%",2.37171892050348,0.3,"ili perc","quantile","2015/2016"
"US National",2016-03-19,4,2016-04-16,"35%",2.56345584425702,0.35,"ili perc","quantile","2015/2016"
"US National",2016-03-19,4,2016-04-16,"40%",2.65347549428666,0.4,"ili perc","quantile","2015/2016"
"US National",2016-03-19,4,2016-04-16,"45%",2.77246324877512,0.45,"ili perc","quantile","2015/2016"
"US National",2016-03-19,4,2016-04-16,"50%",2.86591983701224,0.5,"ili perc","quantile","2015/2016"
"US National",2016-03-19,4,2016-04-16,"55%",3.03042631660289,0.55,"ili perc","quantile","2015/2016"
"US National",2016-03-19,4,2016-04-16,"60%",3.1949555151531,0.6,"ili perc","quantile","2015/2016"
"US National",2016-03-19,4,2016-04-16,"65%",3.23333115972688,0.65,"ili perc","quantile","2015/2016"
"US National",2016-03-19,4,2016-04-16,"70%",3.33592565165513,0.7,"ili perc","quantile","2015/2016"
"US National",2016-03-19,4,2016-04-16,"75%",3.39663845845604,0.75,"ili perc","quantile","2015/2016"
"US National",2016-03-19,4,2016-04-16,"80%",3.47019061455141,0.8,"ili perc","quantile","2015/2016"
"US National",2016-03-19,4,2016-04-16,"85%",3.73355272566854,0.85,"ili perc","quantile","2015/2016"
"US National",2016-03-19,4,2016-04-16,"90%",4.03151696879189,0.9,"ili perc","quantile","2015/2016"
"US National",2016-03-19,4,2016-04-16,"95%",4.40619958046749,0.95,"ili perc","quantile","2015/2016"
"US National",2016-03-19,4,2016-04-16,"97.5%",5.34904406355126,0.975,"ili perc","quantile","2015/2016"
"US National",2016-03-19,4,2016-04-16,"99%",5.44627767776052,0.99,"ili perc","quantile","2015/2016"
