"location","origin_date","value","output_type_id","target","output_type"
"US National",2019-02-02,2.70875983562986,0.01,"ili perc","quantile"
"US National",2019-02-02,3.01539027714789,0.025,"ili perc","quantile"
"US National",2019-02-02,3.20142727595899,0.05,"ili perc","quantile"
"US National",2019-02-02,3.58284834773717,0.1,"ili perc","quantile"
"US National",2019-02-02,3.7658370878917,0.15,"ili perc","quantile"
"US National",2019-02-02,3.91246691439581,0.2,"ili perc","quantile"
"US National",2019-02-02,4.0413655835815,0.25,"ili perc","quantile"
"US National",2019-02-02,4.15852913055163,0.3,"ili perc","quantile"
"US National",2019-02-02,4.22325724679516,0.35,"ili perc","quantile"
"US National",2019-02-02,4.31613295287864,0.4,"ili perc","quantile"
"US National",2019-02-02,4.39086412015138,0.45,"ili perc","quantile"
"US National",2019-02-02,4.48618208704723,0.5,"ili perc","quantile"
"US National",2019-02-02,4.55755821939011,0.55,"ili perc","quantile"
"US National",2019-02-02,4.63690338237927,0.6,"ili perc","quantile"
"US National",2019-02-02,4.7381564478343,0.65,"ili perc","quantile"
"US National",2019-02-02,4.84343222559191,0.7,"ili perc","quantile"
"US National",2019-02-02,4.97927591973729,0.75,"ili perc","quantile"
"US National",2019-02-02,5.16479301068626,0.8,"ili perc","quantile"
"US National",2019-02-02,5.3566144914249,0.85,"ili perc","quantile"
"US National",2019-02-02,5.64507221492747,0.9,"ili perc","quantile"
"US National",2019-02-02,6.20543927702106,0.95,"ili perc","quantile"
"US National",2019-02-02,6.50986976750466,0.975,"ili perc","quantile"
"US National",2019-02-02,7.00747284872552,0.99,"ili perc","quantile"
