"location","origin_date","value","output_type_id","target","output_type"
"US National",2019-10-26,1.03250553006419,0.01,"ili perc","quantile"
"US National",2019-10-26,1.19848410568582,0.025,"ili perc","quantile"
"US National",2019-10-26,1.2792886306848,0.05,"ili perc","quantile"
"US National",2019-10-26,1.43514221461548,0.1,"ili perc","quantile"
"US National",2019-10-26,1.54356912192246,0.15,"ili perc","quantile"
"US National",2019-10-26,1.61813360564176,0.2,"ili perc","quantile"
"US National",2019-10-26,1.67974110832761,0.25,"ili perc","quantile"
"US National",2019-10-26,1.72525153686276,0.3,"ili perc","quantile"
"US National",2019-10-26,1.76103997022487,0.35,"ili perc","quantile"
"US National",2019-10-26,1.78665247917945,0.4,"ili perc","quantile"
"US National",2019-10-26,1.82137630441058,0.45,"ili perc","quantile"
"US National",2019-10-26,1.86458007618795,0.5,"ili perc","quantile"
"US National",2019-10-26,1.90109267252041,0.55,"ili perc","quantile"
"US National",2019-10-26,1.94156135160054,0.6,"ili perc","quantile"
"US National",2019-10-26,1.98272351802374,0.65,"ili perc","quantile"
"US National",2019-10-26,2.02085498812858,0.7,"ili perc","quantile"
"US National",2019-10-26,2.06426263234151,0.75,"ili perc","quantile"
"US National",2019-10-26,2.13500523843871,0.8,"ili perc","quantile"
"US National",2019-10-26,2.23882387167369,0.85,"ili perc","quantile"
"US National",2019-10-26,2.39877897645933,0.9,"ili perc","quantile"
"US National",2019-10-26,2.61028285976939,0.95,"ili perc","quantile"
"US National",2019-10-26,2.95332209402548,0.975,"ili perc","quantile"
"US National",2019-10-26,3.73937120566693,0.99,"ili perc","quantile"
