"location","origin_date","value","output_type_id","target","output_type"
"US National",2019-02-23,2.86130312544718,0.01,"ili perc","quantile"
"US National",2019-02-23,3.37398220015761,0.025,"ili perc","quantile"
"US National",2019-02-23,3.67215388281766,0.05,"ili perc","quantile"
"US National",2019-02-23,3.98883591806097,0.1,"ili perc","quantile"
"US National",2019-02-23,4.19184714762835,0.15,"ili perc","quantile"
"US National",2019-02-23,4.35135402056388,0.2,"ili perc","quantile"
"US National",2019-02-23,4.47055541002983,0.25,"ili perc","quantile"
"US National",2019-02-23,4.5500413903028,0.3,"ili perc","quantile"
"US National",2019-02-23,4.62870855816078,0.35,"ili perc","quantile"
"US National",2019-02-23,4.68741625970585,0.4,"ili perc","quantile"
"US National",2019-02-23,4.74598120832228,0.45,"ili perc","quantile"
"US National",2019-02-23,4.81403773130953,0.5,"ili perc","quantile"
"US National",2019-02-23,4.91390626727331,0.55,"ili perc","quantile"
"US National",2019-02-23,4.98846228642535,0.6,"ili perc","quantile"
"US National",2019-02-23,5.09717141102677,0.65,"ili perc","quantile"
"US National",2019-02-23,5.20246352159916,0.7,"ili perc","quantile"
"US National",2019-02-23,5.29903210887041,0.75,"ili perc","quantile"
"US National",2019-02-23,5.4909809256038,0.8,"ili perc","quantile"
"US National",2019-02-23,5.69741327774661,0.85,"ili perc","quantile"
"US National",2019-02-23,5.92698967336148,0.9,"ili perc","quantile"
"US National",2019-02-23,6.33082952354615,0.95,"ili perc","quantile"
"US National",2019-02-23,6.9265602818919,0.975,"ili perc","quantile"
"US National",2019-02-23,7.32479580669495,0.99,"ili perc","quantile"
