"location","origin_date","horizon","target_end_date","quantile","value","output_type_id","target","output_type","season"
"US National",2018-01-06,4,2018-02-03,"1%",3.1091791145814,0.01,"ili perc","quantile","2017/2018"
"US National",2018-01-06,4,2018-02-03,"2.5%",3.27251902881696,0.025,"ili perc","quantile","2017/2018"
"US National",2018-01-06,4,2018-02-03,"5%",3.64749931231957,0.05,"ili perc","quantile","2017/2018"
"US National",2018-01-06,4,2018-02-03,"10%",4.24487537544656,0.1,"ili perc","quantile","2017/2018"
"US National",2018-01-06,4,2018-02-03,"15%",4.43503501115831,0.15,"ili perc","quantile","2017/2018"
"US National",2018-01-06,4,2018-02-03,"20%",4.72573796366335,0.2,"ili perc","quantile","2017/2018"
"US National",2018-01-06,4,2018-02-03,"25%",4.87706778215396,0.25,"ili perc","quantile","2017/2018"
"US National",2018-01-06,4,2018-02-03,"30%",4.98574940601709,0.3,"ili perc","quantile","2017/2018"
"US National",2018-01-06,4,2018-02-03,"35%",5.14166475963417,0.35,"ili perc","quantile","2017/2018"
"US National",2018-01-06,4,2018-02-03,"40%",5.28357860861866,0.4,"ili perc","quantile","2017/2018"
"US National",2018-01-06,4,2018-02-03,"45%",5.4263653492901,0.45,"ili perc","quantile","2017/2018"
"US National",2018-01-06,4,2018-02-03,"50%",5.71929778030911,0.5,"ili perc","quantile","2017/2018"
"US National",2018-01-06,4,2018-02-03,"55%",5.82697988278,0.55,"ili perc","quantile","2017/2018"
"US National",2018-01-06,4,2018-02-03,"60%",5.97772906607917,0.6,"ili perc","quantile","2017/2018"
"US National",2018-01-06,4,2018-02-03,"65%",6.09924108803643,0.65,"ili perc","quantile","2017/2018"
"US National",2018-01-06,4,2018-02-03,"70%",6.2123205109603,0.7,"ili perc","quantile","2017/2018"
"US National",2018-01-06,4,2018-02-03,"75%",6.40795248908273,0.75,"ili perc","quantile","2017/2018"
"US National",2018-01-06,4,2018-02-03,"80%",6.64831795390045,0.8,"ili perc","quantile","2017/2018"
"US National",2018-01-06,4,2018-02-03,"85%",6.85743026526729,0.85,"ili perc","quantile","2017/2018"
"US National",2018-01-06,4,2018-02-03,"90%",6.96978009019234,0.9,"ili perc","quantile","2017/2018"
"US National",2018-01-06,4,2018-02-03,"95%",7.9207459640774,0.95,"ili perc","quantile","2017/2018"
"US National",2018-01-06,4,2018-02-03,"97.5%",8.49124600376554,0.975,"ili perc","quantile","2017/2018"
"US National",2018-01-06,4,2018-02-03,"99%",9.4155605527791,0.99,"ili perc","quantile","2017/2018"
